cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
1023,2014,1278136948.0,48033786.0,1230103162.0,62078581.0,172511437.0,41625709.0,130885728.0,1105625511.0,0.0,-2962502.0,137778601.0,-768747.14,-1470228.1400000001,14835769.86,-2261021.0,-26775724.0,1601887.0,13551411.0,1099217434.0,-6408077.0,-1492273.8599999999
10456,2014,3646566.0,993994.0,2652572.0,2138855.0,1545662.0,2112145.0,-566483.0,2100904.0,995623.0,-142386.0,3711162.0,-7702.360000000001,-127434.36,301479.64,-22654.0,-356619.0,-96223.0,500129.0,3219055.0,1118151.0,-14951.64
10472,2014,1871799.0,130078.0,1741721.0,1444747.0,1399281.0,17410155.0,-16010874.0,472518.0,1053068.0,286528.0,2275315.0,-23804.08,332735.92,51954.92,-70012.0,5192461.0,-10637002.0,3254036.0,17752595.0,17280077.0,-46207.92
10880,2014,102918.0,189583.0,-86665.0,79210.0,30114.0,18918321.0,-18888207.0,72804.0,27138.0,-27602.0,157458.0,2029.46,-31541.54,6172.46,5969.0,246216.0,-879198.0,432826.0,18801542.0,18728738.0,3939.54
10960,2014,128085.0,24769000.0,-24640915.0,73317.0,31849.0,0.0,31849.0,96236.0,18907.0,0.0,97032.0,560.32,-1087.6799999999998,-23938.68,1648.0,6707.0,11865.0,-8993.0,-24672764.0,-24769000.0,1087.6799999999998
11070,2014,579580.0,38903.0,540677.0,246214.0,95143.0,21045236.0,-20950093.0,484437.0,50389.0,-84189.0,864876.0,1862.18,-87803.82,8785.18,5477.0,29516.0,-15954.0,-18621.0,21490770.0,21006333.0,3614.8199999999997
11207,2014,227645.0,8526.0,219119.0,38052.0,210716.0,2995022.0,-2784306.0,16929.0,99389.0,-488214.0,34980.0,-261.12,-487707.12,5670.88,-768.0,955220.0,0.0,-960746.0,3003425.0,2986496.0,-506.88
11223,2014,830958.0,13609.0,817349.0,45569.0,1877135.0,156107959.0,-154230824.0,-1046177.0,1589271.0,246285.0,119964.0,-38906.200000000004,321808.8,-63126.200000000004,-114430.0,-731749.0,-403188.0,1240785.0,155048173.0,156094350.0,-75523.79999999999
11231,2014,242655.0,1011417.0,-768762.0,118578.0,26591.0,75.0,26516.0,216064.0,17983.0,273897.0,137252.0,2378.6400000000003,269279.64,-175.35999999999967,6996.0,739546.0,-1112534.0,696875.0,-795278.0,-1011342.0,4617.36
11258,2014,1833542.0,36989.0,1796553.0,389049.0,1831696.0,858602.0,973094.0,1846.0,469744.0,-19528.0,155543.0,-22425.04,24002.96,-73827.04000000001,-65956.0,122320.0,-395396.0,293560.0,823459.0,821613.0,-43530.96
11312,2014,102789122.0,5437.0,102783685.0,49286795.0,83477633.0,2636846.0,80840787.0,19311489.0,42556832.0,26122.0,28247099.0,-1545832.1,3026854.9,3008850.9,-4546565.0,16051.0,0.0,-16050.0,21942898.0,2631409.0,-3000732.9
11398,2014,521495.0,1286038.0,-764543.0,302137.0,158675.0,25619.0,133056.0,362820.0,102086.0,-261506.0,394689.0,1217.5400000000002,-263869.46,-53976.46,3581.0,1834559.0,-674387.0,2395114.0,-897599.0,-1260419.0,2363.46
1155,2014,15289994.0,129198.0,15160796.0,4769733.0,2052479.0,1186427.0,866052.0,13237515.0,0.0,355210.0,1752613.0,-16881.68,387980.32,175619.32,-49652.0,1072209.0,-1825583.0,752445.0,14294744.0,1057229.0,-32770.32
11762,2014,1271514.0,197757.0,1073757.0,729429.0,1210505.0,135943.0,1074562.0,61009.0,595966.0,194992.0,1267127.0,-38887.5,270479.5,2693.5,-114375.0,41893.0,751953.0,-899145.0,-805.0,-61814.0,-75487.5
11800,2014,3360092.0,0.0,3360092.0,1683990.0,1784722.0,62822094.0,-61037372.0,1575370.0,952969.0,1714158.0,2449583.0,-51455.26,1814041.74,-29414.260000000002,-151339.0,5001791.0,-1913519.0,-568130.0,64397464.0,62822094.0,-99883.73999999999
11932,2014,6289024.0,0.0,6289024.0,2257929.0,4684521.0,5217624.0,-533103.0,1604503.0,2237802.0,1335615.0,5911677.0,-87196.40000000001,1504878.6,287295.6,-256460.0,21889.0,-187779.0,194549.0,6822127.0,5217624.0,-169263.59999999998
11975,2014,156298.0,475395.0,-319097.0,99298.0,111098.0,5121012.0,-5009914.0,45200.0,53675.0,-743777.0,332742.0,-1642.2,-740589.2,10263.8,-4830.0,219965.0,-34787.0,-159513.0,4690817.0,4645617.0,-3187.8
11991,2014,226169.0,290000.0,-63831.0,44170.0,276909.0,112164.0,164745.0,-50740.0,91333.0,59463240.0,195651.0,-4719.54,59472401.46,-32138.54,-13881.0,9934.0,10457.0,-40740.0,-228576.0,-177836.0,-9161.46
1210,2014,60461043.0,78498311.0,-18037268.0,6479910.0,10295380.0,0.0,10295380.0,50165663.0,0.0,0.0,7433175.0,-50838.50000000001,98686.5,719701.5,-149525.0,2125.0,-7581.0,6759.0,-28332648.0,-78498311.0,-98686.5
12190,2014,754983.0,0.0,754983.0,377316.0,815251.0,250084.0,565167.0,-60268.0,396116.0,7670.0,1152727.0,-42612.880000000005,90389.12,25215.119999999995,-125332.0,7431.0,-1454.0,-4069.0,189816.0,250084.0,-82719.12
12262,2014,857973.0,649.0,857324.0,286119.0,168006.0,923905.0,-755899.0,689967.0,6396.0,162552.0,0.0,-20465.620000000003,202279.38,-514119.62,-60193.0,4549687.0,-4302690.0,-230274.0,1613223.0,923256.0,-39727.38
12530,2014,289621.0,112591.0,177030.0,104796.0,180358.0,1279061.0,-1098703.0,109263.0,73335.0,-231698.0,101639.0,919.7,-233483.3,-40457.3,2705.0,899903.0,-389614.0,-842930.0,1275733.0,1166470.0,1785.3
12572,2014,37133.0,273026.0,-235893.0,2634.0,123815.0,0.0,123815.0,-86682.0,68373.0,0.0,2056.0,-12585.1,24429.9,-18267.1,-37015.0,8174.0,-8842.0,-72.0,-359708.0,-273026.0,-24429.9
12653,2014,21173855.0,479524000.0,-458350145.0,7899676.0,14115531.0,196751.0,13918780.0,7058324.0,2518873.0,0.0,4893882.0,-219678.08000000002,426433.92,1156763.92,-646112.0,-67848.0,-15919.0,24510.0,-472268925.0,-479327249.0,-426433.92
12696,2014,435789.0,28646.0,407143.0,232984.0,889889.0,39250.0,850639.0,-454100.0,123489.0,91695.0,442462.0,-21714.780000000002,133847.22,-63533.78,-63867.0,-123371.0,15113.0,131667.0,-443496.0,10604.0,-42152.22
12793,2014,25593980.0,0.0,25593980.0,3261177.0,10978275.0,0.0,10978275.0,14615705.0,2099230.0,-25393.0,7083603.0,-555806.5,1053525.5,1241470.5,-1634725.0,-4883.0,18541.0,-39409.0,14615705.0,0.0,-1078918.5
12823,2014,434671.0,0.0,434671.0,93253.0,165901.0,2336132.0,-2170231.0,268770.0,30164.0,-71905.0,68443.0,238.00000000000003,-72367.0,7037.0,700.0,-12693.0,-121678.0,185319.0,2604902.0,2336132.0,462.0
12866,2014,591391.0,288491.0,302900.0,8435.0,1467213.0,1069589.0,397624.0,-875822.0,55115.0,-45538.0,34415.0,-27064.68,6999.32,386567.32,-79602.0,377954.0,-1372646.0,-314685.0,-94724.0,781098.0,-52537.32
13030,2014,1075230.0,3618403.0,-2543173.0,61381.0,889059.0,1395469.0,-506410.0,186171.0,241051.0,0.0,95381.0,6371.26,-12367.74,-33579.74,18739.0,1592573.0,-933007.0,-508533.0,-2036763.0,-2222934.0,12367.74
1325,2014,13512442.0,3277507.0,10234935.0,1799533.0,2051675.0,1154201.0,897474.0,11460767.0,0.0,311561.0,3059960.0,50629.740000000005,213279.74,-300609.26,148911.0,1676903.0,-588220.0,-708228.0,9337461.0,-2123306.0,98281.26
13285,2014,1399719.0,0.0,1399719.0,845193.0,826454.0,2846160.0,-2019706.0,573265.0,418627.0,15545.0,1028233.0,-11343.08,37563.92,48140.92,-33362.0,-869.0,0.0,0.0,3419425.0,2846160.0,-22018.92
13412,2014,2666496.0,0.0,2666496.0,1027944.0,1829267.0,0.0,1829267.0,837229.0,606809.0,0.0,1906037.0,-59044.740000000005,114616.26,134157.26,-173661.0,172086.0,-216777.0,53015.0,837229.0,0.0,-114616.26
13471,2014,818263.0,222470.0,595793.0,173318.0,558049.0,749123.0,-191074.0,260214.0,332542.0,196665.0,658343.0,-23394.38,242077.62,10349.619999999999,-68807.0,6441064.0,-6863357.0,367643.0,786867.0,526653.0,-45412.619999999995
13765,2014,202797.0,0.0,202797.0,31303.0,445721.0,607228.0,-161507.0,-242924.0,326657.0,0.0,187170.0,-11469.220000000001,22263.78,20108.78,-33733.0,9384219.0,-7607642.0,-3627824.0,364304.0,607228.0,-22263.78
13773,2014,1132348.0,0.0,1132348.0,497839.0,895068.0,102309.0,792759.0,237280.0,460243.0,485259.0,949147.0,-9567.26,503830.74,112145.74,-28139.0,-269450.0,0.0,0.0,339589.0,102309.0,-18571.739999999998
13781,2014,2429894.0,1769.0,2428125.0,440392.0,1283202.0,7123541.0,-5840339.0,1146692.0,186001.0,938000.0,305326.0,-23513.38,983643.62,166930.62,-69157.0,-143652.0,0.0,0.0,8268464.0,7121772.0,-45643.619999999995
1384,2014,13826801.0,5315.0,13821486.0,8473.0,1419384.0,1289116.0,130268.0,12407417.0,0.0,7499.0,1359210.0,-7185.900000000001,21448.1,80029.1,-21135.0,-93561.0,0.0,93562.0,13691218.0,1283801.0,-13949.099999999999
13986,2014,28119456.0,82785.0,28036671.0,6609424.0,17804324.0,8242503.0,9561821.0,10315132.0,3067645.0,66918.0,7264599.0,-541794.0800000001,1118635.92,790211.9199999999,-1593512.0,127577.0,-21448.0,-121116.0,18474850.0,8159718.0,-1051717.92
14109,2014,4873531.0,1727595.0,3145936.0,2985648.0,3130187.0,274758.0,2855429.0,1743344.0,1038258.0,-22851.0,3778753.0,-13016.560000000001,2416.4399999999987,271552.44,-38284.0,264717.0,-27492.0,-141803.0,290507.0,-1452837.0,-25267.44
14133,2014,71767.0,84942.0,-13175.0,61697.0,93512.0,1094073.0,-1000561.0,-21745.0,63731.0,-21924000.0,104263.0,-4852.14,-21914581.14,-23180.14,-14271.0,1204899.0,-219612.0,-953455.0,987386.0,1009131.0,-9418.86
14206,2014,12814820.0,169012.0,12645808.0,554181.0,2905837.0,321111.0,2584726.0,9908983.0,0.0,-96319.0,2181587.0,-32557.04,-33120.04,290074.96,-95756.0,2187686.0,-1704763.0,-155582.0,10061082.0,152099.0,-63198.96
14311,2014,25618142.0,0.0,25618142.0,5218176.0,11935362.0,701948.0,11233414.0,13682780.0,4055393.0,19926637.0,13918517.0,50223.780000000006,19829143.78,1238121.78,147717.0,-27343.0,-6664.0,-38936.0,14384728.0,701948.0,97493.22
14320,2014,30484062.0,0.0,30484062.0,8245211.0,11722447.0,2255005.0,9467442.0,18761615.0,4769426.0,8161000.0,11741629.0,-177762.54,8506068.46,553547.46,-522831.0,6798092.0,-4635366.0,3424339.0,21016620.0,2255005.0,-345068.45999999996
14346,2014,6187370.0,82707.0,6104663.0,4401209.0,4054162.0,1746901.0,2307261.0,2133208.0,3628924.0,8341.0,9659403.0,-26086.160000000003,58978.84,764545.84,-76724.0,983804.0,-1873488.0,1370224.0,3797402.0,1664194.0,-50637.84
14460,2014,13420612.0,1619232.0,11801380.0,8643734.0,7052767.0,13066.0,7039701.0,6367845.0,4059614.0,-41300.0,5817927.0,5488.96,-51955.04,820730.96,16144.0,664001.0,68221.0,-61150.0,4761679.0,-1606166.0,10655.04
14664,2014,1012083.0,102729.0,909354.0,602269.0,613270.0,71790.0,541480.0,398813.0,251039.0,4074.0,733658.0,-4781.76,13356.24,63350.24,-14064.0,76023.0,-89954.0,-251261.0,367874.0,-30939.0,-9282.24
14761,2014,1432039.0,5135.0,1426904.0,1012153.0,355962.0,56998.0,298964.0,1076077.0,313667.0,45111.0,1678294.0,11677.980000000001,22441.980000000003,296197.98,34347.0,625193.0,-339647.0,-393433.0,1127940.0,51863.0,22669.019999999997
14826,2014,45500000.0,38801.0,45461199.0,24133000.0,31018000.0,2443047.0,28574953.0,14482000.0,23848000.0,262798.0,65525000.0,-512720.00000000006,1258078.0,2755280.0,-1508000.0,495898.0,-21887.0,-473585.0,16886246.0,2404246.0,-995280.0
15083,2014,126130.0,53280.0,72850.0,45339.0,7952584.0,0.0,7952584.0,-7826454.0,7068980.0,-299383.0,58256.0,-12907.42,-274327.42,136096.58,-37963.0,273868.0,-937586.0,801259.0,-7879734.0,-53280.0,-25055.58
15091,2014,31710839.0,0.0,31710839.0,1617061.0,4549678.0,7248050.0,-2698372.0,27161161.0,4549678.0,304720.0,0.0,24116.88,257904.88,-346198.12,70932.0,-374076.0,-656201.0,959490.0,34409211.0,7248050.0,46815.119999999995
