cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,resultado_abrangente,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,lucro_abrangente
15083,2013,91797.0,31096.0,60701.0,34852.0,8019961.0,0.0,8019961.0,-7928164.0,3290954.0,7035196.0,-481253.0,43771.0,-219508.76,-55147.76000000001,-540806.76,-645614.0,1949939.0,-855041.0,-1400231.0,-7959260.0,-31096.0,-426105.24,2809701.0
15091,2013,32275386.0,24.0,32275362.0,2587919.0,4219225.0,-1734998.0,2484227.0,28056161.0,-55428.0,3892131.0,202747.0,0.0,17212.16,169335.16,-514664.84,50624.0,73383.0,-362873.0,285827.0,29791135.0,-1735022.0,33411.84,147319.0
1520,2013,759849.0,0.0,759849.0,328042.0,399874.0,-62718.0,337156.0,359975.0,0.0,323884.0,14127.0,424949.0,-5449.52,24705.48,-28048.52,-16028.0,-42626.0,219902.0,40508.0,422693.0,-62718.0,-10578.48,14127.0
15253,2013,5526980.0,2661.0,5524319.0,1370079.0,3700464.0,-739331.0,2961133.0,1826516.0,0.0,1156481.0,-81800.0,2857772.0,-68694.62000000001,51548.37999999999,336095.38,-202043.0,1306314.0,-2137450.0,1147209.0,2563186.0,-741992.0,-133348.38,-81800.0
15369,2013,4052187.0,591639.0,3460548.0,341284.0,2525673.0,-1942265.0,583408.0,1526514.0,5448.0,304473.0,2680676.0,1276263.0,-55566.54,2788540.46,264313.46,-163431.0,690787.0,36895.0,-705996.0,2877140.0,-2533904.0,-107864.45999999999,2686124.0
15458,2013,352006.0,128780.0,223226.0,202707.0,389214.0,225172.0,164042.0,-37208.0,0.0,258161.0,-126685.0,1193451.0,-18320.22,-91122.22,63037.78,-53883.0,-109057.0,-129190.0,220053.0,59184.0,96392.0,-35562.78,-126685.0
15539,2013,20459145.0,10024.0,20449121.0,4629062.0,10803984.0,-4788002.0,6015982.0,9655161.0,-353698.0,3389934.0,1066837.0,10614298.0,-44865.380000000005,1153928.62,1157902.62,-131957.0,1222865.0,-3607596.0,2770015.0,14433139.0,-4798026.0,-87091.62,713139.0
1562,2013,124593.0,0.0,124593.0,86428.0,49043.0,3849481.0,-3800438.0,75550.0,0.0,36042.0,-187618.0,108697.0,199.92000000000002,-188006.08,13738.92,588.0,414729.0,0.0,-410256.0,3925031.0,3849481.0,388.08,-187618.0
15652,2013,12984.0,25208.0,-12224.0,3995.0,943900.0,-5481697.0,-4537797.0,-930916.0,48486.0,30508.0,1070811.0,10794.0,0.0,1070811.0,-81800.0,0.0,197297.0,-856410.0,-601321.0,4525573.0,-5506905.0,0.0,1119297.0
1597,2013,338751.0,11596.0,327155.0,73353.0,89935.0,-181869.0,-91934.0,248816.0,0.0,56841.0,11514.0,3776.0,-2075.02,15541.98,68869.98,-6103.0,680549.0,-230710.0,489380.0,419089.0,-193465.0,-4027.98,11514.0
