cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
11762,2010,1.612649e+16,250000000000.0,1.612624e+16,9414990000000000.0,1.083127e+16,4118270000000000.0,6713000000000000.0,5295220000000000.0,6286250000000000.0,1199970000000000.0,1.953133e+16,-261660600000000.03,1707899400000000.0,1718019400000000.0,-769590000000000.0,-3.901388e+16,-5750000000000.0,-62730000000000.0,9413240000000000.0,4118020000000000.0,-507929400000000.0,4.07217794e+16
11800,2010,3.467364e+16,3.145998e+16,3213660000000000.0,1.572148e+16,1.238389e+16,55910000000000.0,1.232798e+16,2.228975e+16,7216360000000000.0,-175560000000000.0,2.618889e+16,-128479200000000.02,73840799999999.98,377370800000000.0,-377880000000000.0,-1.096604e+16,1228880000000000.0,9371580000000000.0,-9114320000000000.0,-3.140407e+16,-249400800000000.0,1.10398808e+16
11932,2010,2.084398e+16,0.0,2.084398e+16,9414240000000000.0,1.30501e+16,4074730000000000.0,8975370000000000.0,7793880000000000.0,5441070000000000.0,1310230000000000.0,2.227398e+16,-100320400000000.0,1504969600000000.0,1836269600000000.0,-295060000000000.0,6933230000000000.0,-2734570000000000.0,-2502380000000000.0,1.186861e+16,4074730000000000.0,-194739600000000.0,-5428260400000000.0
11975,2010,1535480000000000.0,360000000000.0,1535120000000000.0,1067390000000000.0,1319460000000000.0,6956070000000000.0,-5636610000000000.0,216020000000000.0,610980000000000.0,6850660000000000.0,3273560000000000.0,-25211000000000.0,6899599000000000.0,210709000000000.0,-74150000000000.0,-3160000000000.0,0.0,0.0,7171730000000000.0,6955710000000000.0,-48939000000000.0,6902759000000000.0
11991,2010,1949290000000000.0,0.0,1949290000000000.0,640450000000000.0,1927670000000000.0,3529430000000000.0,-1601760000000000.0,21620000000000.0,527660000000000.0,-303620000000000.0,2259500000000000.0,-33799400000000.004,-238009400000000.0,57770600000000.0,-99410000000000.0,-3090000000000.0,0.0,0.0,3551050000000000.0,3529430000000000.0,-65610600000000.0,-234919400000000.0
1210,2010,3.2688391e+17,166410000000000.0,3.267175e+17,4.79026e+16,5.676736e+16,0.0,5.676736e+16,2.7011655e+17,0.0,0.0,4.596645e+16,-1249092000000000.0,2424708000000000.0,1.0027238e+16,-3673800000000000.0,6368010000000000.0,-3792430000000000.0,-3205100000000000.0,2.6995014e+17,-166410000000000.0,-2424708000000000.0,-3943302000000000.0
12190,2010,6708560000000000.0,3.331328e+16,-2.660472e+16,2464920000000000.0,7887500000000000.0,1.778195e+16,-9894450000000000.0,-1178940000000000.0,2084950000000000.0,115210000000000.0,8049240000000000.0,-69856400000000.01,250813600000000.0,418773600000000.0,-205460000000000.0,3.231568e+16,-1.100593e+16,-1.583227e+16,-1.671027e+16,-1.553133e+16,-135603600000000.0,-3.20648664e+16
12262,2010,1.7683781e+17,2194530000000000.0,1.7464328e+17,5.230996e+16,1.3956802e+17,2318490000000000.0,1.3724953e+17,3.726979e+16,4.509789e+16,1447370000000000.0,6.905664e+16,-2271512800000000.0,5856777200000000.0,6458357200000000.0,-6680920000000000.0,2.050945e+16,-6720960000000000.0,-1.366083e+16,3.739375e+16,123960000000000.0,-4409407200000000.0,-1.46526728e+16
12530,2010,1.081082e+16,0.0,1.081082e+16,7740980000000000.0,5671000000000000.0,2638180000000000.0,3032820000000000.0,5139820000000000.0,3043480000000000.0,6371970000000000.0,1.571423e+16,-2964800000000.0,6377725200000000.0,163065200000000.0,-8720000000000.0,166990000000000.0,-61280000000000.0,161150000000000.0,7778000000000000.0,2638180000000000.0,-5755200000000.0,6210735200000000.0
12572,2010,914470000000000.0,2794080000000000.0,-1879610000000000.0,343540000000000.0,1060610000000000.0,2035040000000000.0,-974430000000000.0,-146140000000000.0,377770000000000.0,0.0,336680000000000.0,-29750000000000.004,57750000000000.0,-7170000000000.004,-87500000000000.0,12220000000000.0,284360000000000.0,-306840000000000.0,-905180000000000.0,-759040000000000.0,-57750000000000.0,45530000000000.0
12653,2010,1.2261243e+17,58910000000000.0,1.2255352e+17,4.127147e+16,7.106741e+16,1034590000000000.0,7.003282e+16,5.154502e+16,1.690913e+16,5038520000000000.0,3.663317e+16,172019600000000.0,4704599600000000.0,5487599600000000.0,505940000000000.0,3770000000000.0,7860000000000.0,-11730000000000.0,5.25207e+16,975680000000000.0,333920400000000.0,4700829600000000.0
12696,2010,3179260000000000.0,0.0,3179260000000000.0,1647990000000000.0,4889140000000000.0,68160000000000.0,4820980000000000.0,-1709880000000000.0,868230000000000.0,1339700000000000.0,3652990000000000.0,-156009000000000.0,1642541000000000.0,13431000000000.0,-458850000000000.0,28930000000000.0,-35390000000000.0,22660000000000.0,-1641720000000000.0,68160000000000.0,-302841000000000.0,1613611000000000.0
12793,2010,3.0163492e+17,1727740000000000.0,2.9990718e+17,5.898654e+16,1.4758646e+17,2318770000000000.0,1.4526769e+17,1.5404846e+17,3.192336e+16,1880900000000000.0,6.283387e+16,-1238341200000000.0,4284738800000000.0,7690258800000000.0,-3642180000000000.0,8.283631e+16,-4.619424e+16,-1.019303e+16,1.5463949e+17,591030000000000.0,-2403838800000000.0,-7.85515712e+16
12823,2010,2248800000000000.0,1595950000000000.0,652850000000000.0,911310000000000.0,862760000000000.0,1.082912e+16,-9966360000000000.0,1386040000000000.0,833900000000000.0,1237740000000000.0,706360000000000.0,-4365600000000.0005,1246214400000000.0,54184400000000.0,-12840000000000.0,4917940000000000.0,-3635240000000000.0,-1268670000000000.0,1.061921e+16,9233170000000000.0,-8474400000000.0,-3671725600000000.0
12858,2010,545300000000000.0,0.0,545300000000000.0,420790000000000.0,140560000000000.0,1375110000000000.0,-1234550000000000.0,404740000000000.0,91480000000000.0,1976930000000000.0,327050000000000.0,2856000000000.0,1971386000000000.0,14536000000000.0,8400000000000.0,188880000000000.0,-83020000000000.0,-114000000000000.0,1779850000000000.0,1375110000000000.0,5544000000000.0,1782506000000000.0
12866,2010,1.525496e+16,0.0,1.525496e+16,323900000000000.0,1.731244e+16,2.91521205e+18,-2.89789961e+18,-2057480000000000.0,370030000000000.0,1.449708e+16,150540000000000.0,-254673600000000.03,1.49914464e+16,-408213600000000.0,-749040000000000.0,2235160000000000.0,-1516180000000000.0,-960200000000000.0,2.91315457e+18,2.91521205e+18,-494366400000000.0,1.27562864e+16
13030,2010,9651090000000000.0,965490000000000.0,8685600000000000.0,1170300000000000.0,6901570000000000.0,1.4564192e+17,-1.3874035e+17,2749520000000000.0,1425330000000000.0,20320000000000.0,2013690000000000.0,98566000000000.0,-171014000000000.0,32146000000000.0,289900000000000.0,119210000000000.0,-53460000000000.0,78330000000000.0,1.4742595e+17,1.4467643e+17,191334000000000.0,-290224000000000.0
1325,2010,1.1043676e+17,731160000000000.0,1.097056e+17,3.037861e+16,1.962527e+16,2.102592e+16,-1400650000000000.0,9.081149e+16,0.0,146570000000000.0,1.97121e+16,-322782400000000.0,773147600000000.0,2540237600000000.0,-949360000000000.0,88190000000000.0,-11040000000000.0,0.0,1.1110625e+17,2.029476e+16,-626577600000000.0,684957600000000.0
13285,2010,9933090000000000.0,1.2372e+17,-1.1378691e+17,4613870000000000.0,5356750000000000.0,147660000000000.0,5209090000000000.0,4576340000000000.0,2908780000000000.0,34250000000000.0,6880410000000000.0,-44295200000000.0,120234800000000.0,223894800000000.0,-130280000000000.0,-226170000000000.0,582640000000000.0,-207100000000000.0,-1.18996e+17,-1.2357234e+17,-85984800000000.0,346404800000000.0
