cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
1023,2015,1388864529.0,57675403.0,1331189126.0,102700113.0,178711765.0,48212889.0,130498876.0,1210152764.0,0.0,-14953658.0,182368871.0,1924581.9000000001,-18689611.1,12062085.9,5660535.0,28068706.0,-1274198.0,9483264.0,1200690250.0,-9462514.0,3735953.0999999996
10456,2015,3763470.0,137478.0,3625992.0,2208631.0,1832234.0,2664440.0,-832206.0,1931236.0,1309519.0,-261588.0,4126254.0,-21353.7,-220136.7,319352.3,-62805.0,139805.0,-58847.0,44931.0,4458198.0,2526962.0,-41451.3
10472,2015,1750734.0,3320.0,1747414.0,1338522.0,1226182.0,72205.0,1153977.0,524552.0,846456.0,-551171.0,1772815.0,-27362.52,-498055.52,-92052.52,-80478.0,6980475.0,-9012552.0,2018972.0,593437.0,68885.0,-53115.479999999996
10880,2015,87723.0,1099274.0,-1011551.0,59526.0,25501.0,1969384.0,-1943883.0,62222.0,23009.0,-375285.0,111383.0,2805.34,-380730.66,-15947.66,8251.0,62031.0,-578150.0,523828.0,932332.0,870110.0,5445.66
10960,2015,91465.0,3068000.0,-2976535.0,37472.0,15598.0,0.0,15598.0,75867.0,10990.0,0.0,45260.0,1164.16,-2259.84,-23325.84,3424.0,49936.0,2758.0,-36051.0,-2992133.0,-3068000.0,2259.84
11070,2015,518925.0,217859.0,301066.0,164708.0,75236.0,29836909.0,-29761673.0,443689.0,36947.0,6475.0,496844.0,3813.1000000000004,-926.8999999999996,-3595.8999999999996,11215.0,93917.0,197865.0,-235621.0,30062739.0,29619050.0,7401.9
11207,2015,241030.0,213090.0,27940.0,44579.0,223522.0,10941057.0,-10717535.0,17508.0,112245.0,-4595986.0,79337.0,-1334.8400000000001,-4593394.84,3097.16,-3926.0,441541.0,0.0,-446265.0,10745475.0,10727967.0,-2591.16
11223,2015,883757.0,34626.0,849131.0,48592.0,2058572.0,966298.0,1092274.0,-1174815.0,1757147.0,-751.0,141602.0,-44915.020000000004,86436.98,-43262.020000000004,-132103.0,-257180.0,-1554169.0,1945424.0,-243143.0,931672.0,-87187.98
11231,2015,230733.0,544351.0,-313618.0,108474.0,25947.0,258490.0,-232543.0,204786.0,16435.0,51157.0,121346.0,2677.5,45959.5,-14159.5,7875.0,1058652.0,799481.0,-1350578.0,-81075.0,-285861.0,5197.5
11258,2015,2554529.0,16512.0,2538017.0,443670.0,2773287.0,512280.0,2261007.0,-218758.0,382673.0,-63770.0,45092.0,-23189.36,-18755.36,-190618.36,-68204.0,17862.0,0.0,-17863.0,277010.0,495768.0,-45014.64
