cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
1023,2011,966823068.0,92060261.0,874762807.0,44309888.0,192779578.0,40653583.0,152125995.0,774043490.0,0.0,3762019.0,106919760.0,-1719836.62,7100525.38,16075418.379999999,-5058343.0,27764199.0,-14467116.0,3420835.0,722636812.0,-51406678.0,-3338506.38,-20663673.62
10456,2011,2442554.0,137528.0,2305026.0,1609539.0,952695.0,50325.0,902370.0,1489859.0,666299.0,-192802.0,2574700.0,9876.66,-211974.34,289894.66,29049.0,-489269.0,-6340.0,647406.0,1402656.0,-87203.0,19172.34,277294.66000000003
10472,2011,1337446.0,36291846.0,-34954400.0,969973.0,871239.0,1197349.0,-326110.0,466207.0,538135.0,-32601.0,1888967.0,-16977.22,354.77999999999884,97876.78,-49933.0,4286868.0,-10904111.0,2356861.0,-34628290.0,-35094497.0,-32955.78,-4286513.22
10596,2011,187942696.0,39504.0,187903192.0,12223051.0,158513405.0,5932.0,158507473.0,29429291.0,73149703.0,37400224.0,202583.0,-15902062.14,68268932.86,-82606153.14,-46770771.0,1881894.0,-1657686.0,-324590.0,29395719.0,-33572.0,-30868708.86,66387038.86
10880,2011,93174.0,152545.0,-59371.0,48929.0,24750.0,6924315.0,-6899565.0,68424.0,18815.0,178763.0,89755.0,1113.8400000000001,176600.84,4115.84,3276.0,2119.0,7375.0,-2523.0,6840194.0,6771770.0,2162.16,174481.84
10960,2011,206925.0,2951734.0,-2744809.0,140746.0,62905.0,0.0,62905.0,144020.0,57164.0,0.0,68711.0,362.1,-702.9,44462.1,1065.0,-2560.0,-213.0,2687.0,-2807714.0,-2951734.0,702.9,1857.1
11070,2011,561606.0,0.0,561606.0,290390.0,96515.0,46624424.0,-46527909.0,465091.0,65469.0,546310.0,939162.0,4851.8,536891.8,28989.8,14270.0,21235.0,-375146.0,337729.0,47089515.0,46624424.0,9418.2,515656.80000000005
11223,2011,508312.0,120170.0,388142.0,140934.0,1378768.0,81755.0,1297013.0,-870456.0,898484.0,-39953.0,264810.0,-50162.240000000005,57420.759999999995,-97271.24,-147536.0,862478.0,0.0,-854242.0,-908871.0,-38415.0,-97373.76,-805057.24
11231,2011,272923.0,16082.0,256841.0,197424.0,43688.0,15163914.0,-15120226.0,229235.0,31443.0,-47872.0,144986.0,5651.4800000000005,-58842.52,14911.48,16622.0,171551.0,-508684.0,337147.0,15377067.0,15147832.0,10970.52,-230393.52
11312,2011,31664031.0,3152738.0,28511293.0,12245573.0,21074859.0,147083.0,20927776.0,10589172.0,8619177.0,49059.0,9245255.0,-24450.08,96520.92,1053211.92,-71912.0,-179863.0,-381860.0,581055.0,7583517.0,-3005655.0,-47461.92,276383.92
