cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
1023,2016,1387215686.0,39706571.0,1347509115.0,103127771.0,197638066.0,46991307.0,150646759.0,1189577620.0,0.0,3513276.0,168039236.0,-758489.0,4985637.0,10131938.0,-2230850.0,4385042.0,6578879.0,-1185581.0,1196862356.0,7284736.0,-1472361.0,600595.0
10456,2016,3782052.0,0.0,3782052.0,2262005.0,1716303.0,144535.0,1571768.0,2065749.0,994530.0,451252.0,4054404.0,-29601.08,508712.92,419718.92,-87062.0,-41915.0,-42263.0,25780.0,2210284.0,144535.0,-57460.92,550627.9199999999
10472,2016,1333877.0,69935.0,1263942.0,984664.0,842016.0,41402.0,800614.0,491861.0,672003.0,4206.0,1737563.0,-18239.98,39613.020000000004,-16101.98,-53647.0,1888738.0,-5473806.0,2870763.0,463328.0,-28533.0,-35407.020000000004,-1849124.98
10880,2016,79011.0,24621.0,54390.0,52833.0,22582.0,1771889.0,-1749307.0,56429.0,19136.0,3765314.0,86248.0,-344.42,3765982.58,-4870.42,-1013.0,-180419.0,-479321.0,685693.0,1803697.0,1747268.0,-668.5799999999999,3946401.58
10960,2016,72695.0,2556000.0,-2483305.0,14393.0,8102.0,0.0,8102.0,64593.0,5274.0,0.0,53489.0,916.98,-1780.02,-4226.02,2697.0,-58181.0,2941.0,32174.0,-2491407.0,-2556000.0,1780.02,56400.98
11070,2016,518539.0,819155.0,-300616.0,178939.0,95151.0,5735256.0,-5640105.0,423388.0,58669.0,-2885929.0,421470.0,3034.5,-2891819.5,-24733.5,8925.0,101449.0,710.0,-41303.0,5339489.0,4916101.0,5890.5,-2993268.5
11207,2016,243385.0,0.0,243385.0,39584.0,226512.0,1392.0,225120.0,16873.0,115254.0,-16818.0,17527.0,-756.5,-15349.5,833.5,-2225.0,125656.0,0.0,-114093.0,18265.0,1392.0,-1468.5,-141005.5
11223,2016,949582.0,1373287.0,-423705.0,62732.0,2259270.0,138841.0,2120429.0,-1309688.0,1940000.0,64477.0,158619.0,-48934.16,159466.84,-38962.16,-143924.0,-785848.0,-30881.0,711553.0,-2544134.0,-1234446.0,-94989.84,945314.84
11231,2016,219602.0,0.0,219602.0,98732.0,31531.0,5831343.0,-5799812.0,188071.0,20750.0,-729197.0,110644.0,1787.38,-732666.62,-20287.62,5257.0,1765051.0,-2128233.0,76755.0,6019414.0,5831343.0,3469.62,-2497717.62
11258,2016,3059928.0,6038.0,3053890.0,442716.0,3560031.0,473868.0,3086163.0,-500103.0,97490.0,-15544.0,56054.0,-26145.660000000003,35209.34,-220129.66,-76899.0,5129403.0,-535958.0,-3140846.0,-32273.0,467830.0,-50753.34,-5094193.66
11312,2016,82171198.0,6113.0,82165085.0,26706577.0,69715592.0,79137284.0,-9421692.0,12455606.0,60749243.0,13436291.0,25996423.0,-1120770.22,15611903.78,-4945503.22,-3296383.0,1079749.0,-1892792.0,1055100.0,91586777.0,79131171.0,-2175612.7800000003,14532154.78
11398,2016,644348.0,80265.0,564083.0,426387.0,222569.0,34421.0,188148.0,421779.0,124703.0,-26720.0,484948.0,14464.62,-54798.38,55920.62,42543.0,269666.0,162455.0,-456813.0,375935.0,-45844.0,28078.379999999997,-324464.38
1155,2016,25763824.0,14534057.0,11229767.0,13900955.0,2371567.0,2089927.0,281640.0,23392257.0,0.0,27828.0,2898343.0,-25227.660000000003,76799.34,194719.34,-74199.0,-2313.0,0.0,1939.0,10948127.0,-12444130.0,-48971.34,79112.34
