cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
1023,2012,1136007475.0,99690827.0,1036316648.0,58185893.0,228439872.0,52400360.0,176039512.0,907567603.0,0.0,-6925652.0,107931378.0,-1302775.28,-4396735.28,13967116.72,-3831692.0,8734426.0,-13657895.0,17166854.0,860277136.0,-47290467.0,-2528916.7199999997,-13131161.280000001
10456,2012,2740729.0,163864.0,2576865.0,1838987.0,1079831.0,973710.0,106121.0,1660898.0,755459.0,-198818.0,3006982.0,2751.96,-204160.04,275193.96,8094.0,-1070280.0,-54985.0,645385.0,2470744.0,809846.0,5342.04,866119.96
10472,2012,1334941.0,3313.0,1331628.0,964371.0,819000.0,2159457.0,-1340457.0,515941.0,552482.0,9005.0,1923585.0,-12966.92,34176.08,102186.08,-38138.0,13826591.0,-13455412.0,-901591.0,2672085.0,2156144.0,-25171.08,-13792414.92
10596,2012,182966850.0,24976.0,182941874.0,12262918.0,166167964.0,7092878.0,159075086.0,16798886.0,74540663.0,1496240.0,105644.0,-1399432.52,4212785.48,-9211142.52,-4115978.0,1733239.0,-2593213.0,177200.0,23866788.0,7067902.0,-2716545.48,2479546.4800000004
10880,2012,221789.0,34356.0,187433.0,198312.0,77163.0,16710012.0,-16632849.0,144626.0,69243.0,-738305.0,117293.0,674.5600000000001,-739614.44,102080.56,1984.0,3114.0,234.0,-835.0,16820282.0,16675656.0,1309.44,-742728.44
10960,2012,169192.0,3002092.0,-2832900.0,108020.0,37871.0,0.0,37871.0,131321.0,31625.0,0.0,87991.0,1712.5800000000002,-3324.42,-7634.42,5037.0,-9055.0,9720.0,1550.0,-2870771.0,-3002092.0,3324.42,5730.58
11070,2012,658138.0,25.0,658113.0,324654.0,165622.0,58946695.0,-58781073.0,492516.0,115665.0,39282.0,812481.0,3129.36,33207.36,33780.36,9204.0,-8570.0,-95251.0,189408.0,59439186.0,58946670.0,6074.639999999999,41777.36
11223,2012,837479.0,678477.0,159002.0,480337.0,1593643.0,950437.0,643206.0,-756164.0,1171020.0,101052.0,186239.0,-58037.66,213713.34,214319.34,-170699.0,895944.0,0.0,-876221.0,-484204.0,271960.0,-112661.34,-682230.66
11231,2012,253124.0,324720.0,-71596.0,163280.0,29383.0,15861031.0,-15831648.0,223741.0,20639.0,176807.0,147409.0,3368.0400000000004,170269.04,14847.04,9906.0,-167377.0,-734241.0,922588.0,15760052.0,15536311.0,6537.959999999999,337646.04000000004
11312,2012,69076894.0,16739.0,69060155.0,21144786.0,57760340.0,49015998.0,8744342.0,11316554.0,17096423.0,-23034.0,25169230.0,-753279.18,1439213.8199999998,3247174.82,-2215527.0,62283.0,-709710.0,756920.0,60315813.0,48999259.0,-1462247.8199999998,1376930.8199999998
11398,2012,608513.0,561828.0,46685.0,357528.0,196138.0,19435.0,176703.0,412375.0,154433.0,-182126.0,455774.0,-1398.42,-179411.42,52832.58,-4113.0,11554.0,-4.0,-11550.0,-130018.0,-542393.0,-2714.58,-190965.42
1155,2012,12611522.0,690067.0,11921455.0,5931533.0,1713841.0,47001012.0,-45287171.0,10897681.0,0.0,1641371.0,1214090.0,-7018.960000000001,1654996.04,95329.04,-20644.0,1250609.0,-1471795.0,349642.0,57208626.0,46310945.0,-13625.039999999999,404387.04000000004
