cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,resultado_abrangente,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,lucro_abrangente
1023,2017,1353075042.0,30574378.0,1322500664.0,47239964.0,188124330.0,-34240596.0,153883734.0,1164950712.0,-4177412.0,0.0,-1725691.0,139763614.0,-1242753.7200000002,686713.2799999998,14687707.28,-3655158.0,-46925241.0,-6381485.0,-2671366.0,1168616930.0,-64814974.0,-2412404.28,-5903103.0
10456,2017,3853454.0,0.0,3853454.0,2439913.0,1589065.0,236879.0,1352186.0,2264389.0,41017.0,1121505.0,-93669.0,3721863.0,-25031.480000000003,-45078.48,400826.52,-73622.0,868699.0,-79217.0,-68874.0,2501268.0,236879.0,-48590.52,-52652.0
10472,2017,1399185.0,6000.0,1393185.0,962503.0,977127.0,-737902.0,239225.0,422058.0,0.0,740362.0,-24319.0,1724886.0,-16446.48,7606.52,-17431.48,-48372.0,2385569.0,-147791.0,-1941381.0,1153960.0,-743902.0,-31925.52,-24319.0
10880,2017,80341.0,106330.0,-25989.0,48496.0,23510.0,-4496766.0,-4473256.0,56831.0,0.0,14674.0,2088.0,49386.0,1149.2,-142.79999999999995,978.2,3380.0,-3919.0,67.0,26.0,4447267.0,-4603096.0,2230.8,2088.0
10960,2017,48929.0,6237000.0,-6188071.0,25532.0,5396.0,0.0,5396.0,43533.0,0.0,1780.0,0.0,3708.0,307.02000000000004,-595.98,-21656.98,903.0,4883.0,0.0,98.0,-6193467.0,-6237000.0,595.98,0.0
11070,2017,473834.0,0.0,473834.0,171248.0,98657.0,-68321573.0,-68222916.0,375177.0,41666.0,52244.0,306264.0,489743.0,1034.6200000000001,304255.62,-7977.38,3043.0,16837.0,-68585.0,-7492.0,68696750.0,-68321573.0,2008.3799999999999,347930.0
11207,2017,224583.0,421044.0,-196461.0,39112.0,222273.0,1225962.0,-1003689.0,2310.0,-1576803.0,125408.0,1044049.0,1609.0,4270.400000000001,1035759.4,-22852.6,12560.0,81970.0,52811.0,-92218.0,807228.0,804918.0,8289.599999999999,-532754.0
11223,2017,970346.0,21805.0,948541.0,54355.0,2448353.0,833882.0,1614471.0,-1478007.0,0.0,2112042.0,82112.0,132023.0,-50372.020000000004,179892.97999999998,-70578.02,-148153.0,4878.0,687056.0,-441212.0,-665930.0,812077.0,-97780.98,82112.0
11231,2017,204819.0,291341.0,-86522.0,88774.0,31820.0,90327.0,-58507.0,172999.0,-1346.0,23020.0,-606869.0,124056.0,981.2400000000001,-608773.76,-17608.76,2886.0,-442410.0,-1666693.0,3354355.0,-28015.0,-201014.0,1904.7599999999998,-608215.0
11312,2017,68639036.0,0.0,68639036.0,23747748.0,82151559.0,-815889.0,81335670.0,-13512523.0,0.0,67891607.0,25306.0,23789654.0,-1086814.08,2135003.92,-4546464.08,-3196512.0,1249281.0,-980821.0,-144179.0,-12696634.0,-815889.0,-2109697.92,25306.0
1155,2017,22859145.0,0.0,22859145.0,9402912.0,2417350.0,-337402190.0,-334984840.0,20441795.0,-1011.0,0.0,-462882.0,2651708.0,-31009.7,-402686.7,227562.3,-91205.0,5520233.0,-472217.0,-1715738.0,357843985.0,-337402190.0,-60195.3,-463893.0
11592,2017,3466377.0,219336.0,3247041.0,1109867.0,2393546.0,-24168.0,2369378.0,1072831.0,0.0,1151821.0,44003.0,3019592.0,-31904.24,105934.76,368195.76,-93836.0,694362.0,-969079.0,3750216.0,877663.0,-243504.0,-61931.759999999995,44003.0
11762,2017,1120485.0,86.0,1120399.0,668030.0,335912.0,-106145.0,229767.0,784573.0,0.0,266634.0,8134.0,1263082.0,-16864.0,40870.0,221675.0,-49600.0,162895.0,-77594.0,-70394.0,890632.0,-106231.0,-32736.0,8134.0
11932,2017,7922248.0,0.0,7922248.0,3048763.0,5291743.0,4076669.0,1215074.0,2630505.0,0.0,3060854.0,670251.0,7487940.0,-118050.72000000002,899408.28,309366.27999999997,-347208.0,206865.0,445448.0,-528609.0,6707174.0,4076669.0,-229157.27999999997,670251.0
11975,2017,133417.0,135585.0,-2168.0,60874.0,211781.0,1184714.0,-972933.0,-78364.0,0.0,99346.0,1118255.0,63770.0,-5810.26,1129533.74,-72985.26,-17089.0,652814.0,-2287895.0,1207007.0,970765.0,1049129.0,-11278.74,1118255.0
11991,2017,179515.0,0.0,179515.0,36443.0,317892.0,-17028201.0,-16710309.0,-138377.0,0.0,119725.0,56266.0,121573.0,53.720000000000006,56161.72,6270.72,158.0,290283.0,-168576.0,-136779.0,16889824.0,-17028201.0,104.28,56266.0
1210,2017,74367489.0,241710041.0,-167342552.0,12508577.0,13173375.0,0.0,13173375.0,61194114.0,0.0,0.0,0.0,9317842.0,-154825.46000000002,300543.54,1396049.54,-455369.0,38150.0,-9742.0,-38329.0,-180515927.0,-241710041.0,-300543.54,0.0
12190,2017,685366.0,0.0,685366.0,321212.0,831994.0,-202483.0,629511.0,-146628.0,903.0,483248.0,41937.0,1096718.0,-26047.74,92500.26,177387.26,-76611.0,-4186.0,4405.0,0.0,55855.0,-202483.0,-50563.259999999995,42840.0
12319,2017,97670.0,0.0,97670.0,1146.0,99803.0,-26645441.0,-26545638.0,-2133.0,0.0,17572.0,57510.0,0.0,-2.72,57515.28,-1431.72,-8.0,3256.0,-126.0,-6243.0,26643308.0,-26645441.0,-5.279999999999999,57510.0
12530,2017,73683.0,31984.0,41699.0,14930.0,39966.0,119635.0,-79669.0,33717.0,0.0,7917.0,-52012.0,1799.0,5546.42,-62778.58,-33397.58,16313.0,1314404.0,-487513.0,-442383.0,121368.0,87651.0,10766.58,-52012.0
12572,2017,37470.0,201936.0,-164466.0,1174.0,153769.0,-2410000.0,-2256231.0,-116299.0,0.0,45130.0,0.0,35.0,-4414.56,8569.439999999999,-28341.56,-12984.0,2785.0,-12708.0,-30046.0,2091765.0,-2611936.0,-8569.439999999999,0.0
12653,2017,30549541.0,0.0,30549541.0,11803589.0,23315390.0,552060.0,22763330.0,7234151.0,0.0,3747333.0,185015.0,8373378.0,-242550.56000000003,655848.44,1003002.44,-713384.0,4111.0,73327.0,-21503.0,7786211.0,552060.0,-470833.43999999994,185015.0
12696,2017,387859.0,98982.0,288877.0,208605.0,1285690.0,46482.0,1239208.0,-897831.0,0.0,243077.0,20205.0,385405.0,-27266.640000000003,73134.36,-110702.64,-80196.0,85002.0,-35507.0,-93621.0,-950331.0,-52500.0,-52929.36,20205.0
