cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
1023,2019,1452266807.0,32053480.0,1420213327.0,71936023.0,2.317056060000002e+18,4.910683e+17,1.825987760000002e+18,1.220561201e+19,9616360000000000.0,10743843.0,123105325.0,2634594.04,5629631.04,13774106.04,7748806.0,58542666.0,-30587074.0,-16165987.0,-1.8259877585797888e+18,4.910682999679465e+17,5114211.96
10456,2019,4522040.0,0.0,4522040.0,2610134.0,1.787448e+16,1.054513e+16,7329350000000000.0,2.734592e+16,1.256495e+16,984435.0,3712184.0,-529.38,985462.62,317010.62,-1557.0,-110402.0,-55700.0,-165280.0,-7329349995477960.0,1.054513e+16,-1027.62
10472,2019,852189.0,2000.0,850189.0,233719.0,1.024878e+16,1274990000000000.0,8973790000000000.0,-1726890000000000.0,2636710000000000.0,376691.0,669658.0,78225.84000000001,224840.84000000003,-436541.16,230076.0,-86329.0,3270029.0,-3390681.0,-8973789999149811.0,1274989999998000.0,151850.15999999997
10880,2019,73738.0,4701418.0,-4627680.0,42459.0,219820000000000.0,1.4665207e+17,-1.4643225e+17,517560000000000.0,137050000000000.0,172358.0,63602.0,658.9200000000001,171078.92,3108.92,1938.0,1247.0,-1035.0,-2364.0,1.4643224999537232e+17,1.466520699952986e+17,1279.08
11070,2019,515472.0,1025845.0,-510373.0,193907.0,949470000000000.0,5.806809e+16,-5.711862e+16,4205250000000000.0,465920000000000.0,-8696040.0,1083618.0,878.22,-8697744.78,48130.22,2583.0,4811.0,-10.0,-50.0,5.7118619999489624e+16,5.806808999897415e+16,1704.78
11207,2019,232726.0,177082.0,55644.0,39758.0,2319640000000000.0,1.219849e+16,-9878850000000000.0,7620000000000.0,1350990000000000.0,-228360.0,0.0,458.32000000000005,-229249.68,-1261.6799999999998,1348.0,191414.0,-157669.0,-75214.0,9878850000055644.0,1.2198489999822918e+16,889.68
11223,2019,979499.0,1697212.0,-717713.0,62254.0,2.543466e+16,4318420000000000.0,2.111624e+16,-1.563967e+16,2.206251e+16,18488.0,148725.0,-34860.880000000005,86159.12,-61358.880000000005,-102532.0,2371.0,0.0,0.0,-2.111624000071771e+16,4318419998302788.0,-67671.12
11231,2019,228827.0,0.0,228827.0,117607.0,469510000000000.0,4999820000000000.0,-4530310000000000.0,1818760000000000.0,370510000000000.0,-17893.0,149259.0,1329.0600000000002,-20472.94,6803.06,3909.0,157938.0,-1723688.0,1981609.0,4530310000228827.0,4999820000000000.0,2579.9399999999996
11312,2019,71891822.0,0.0,71891822.0,17993281.0,5.4095316e+17,72930000000000.0,5.4088023e+17,1.7796506e+17,1.1835917e+17,31867.0,20136183.0,-2077304.12,4064280.88,-5062693.12,-6109718.0,2582319.0,-1396810.0,-1229144.0,-5.4088022992810816e+17,72930000000000.0,-4032413.88
1155,2019,23788780.0,29165.0,23759615.0,1626179.0,2.792618e+16,1.639917e+16,1.152701e+16,2.0996162e+17,0.0,38409.0,2100564.0,-12580.0,62829.0,239606.0,-37000.0,1989442.0,-1192580.0,-419376.0,-1.1527009976240384e+16,1.6399169999970836e+16,-24420.0
11592,2019,3718821.0,0.0,3718821.0,1207780.0,2.235598e+16,2.8470059e+17,-2.6234461e+17,1.483223e+16,7850770000000000.0,223667.0,3048730.0,-47913.14000000001,316674.86,265365.86,-140921.0,3409648.0,-4395258.0,1092654.0,2.6234461000371882e+17,2.8470059e+17,-93007.85999999999
11762,2019,1355158.0,0.0,1355158.0,794232.0,2677300000000000.0,3659060000000000.0,-981760000000000.0,1.087428e+16,1491970000000000.0,129910.0,1359985.0,1744.88,126522.88,139692.88,5132.0,70287.0,-83262.0,56716.0,981760001355158.0,3659060000000000.0,3387.12
11932,2019,9375411.0,0.0,9375411.0,3357621.0,5.878435e+16,3.765417e+16,2.113018e+16,3.496976e+16,2.583618e+16,16157.0,10016395.0,-57767.36,128293.64,533551.64,-169904.0,44019.0,-300620.0,236732.0,-2.1130179990624588e+16,3.765417e+16,-112136.64
11975,2019,55305.0,0.0,55305.0,21255.0,3016750000000000.0,8681380000000000.0,-5664630000000000.0,-2463700000000000.0,2183160000000000.0,534316.0,1753.0,-4740.280000000001,543517.72,-26581.28,-13942.0,29929.0,-71650.0,82810.0,5664630000055305.0,8681380000000000.0,-9201.72
11991,2019,173583.0,35072.0,138511.0,39985.0,3835050000000000.0,2.294993e+16,-1.911488e+16,-2099220000000000.0,1614620000000000.0,-33030.0,179144.0,-8534.0,-16464.0,-22558.0,-25100.0,29929.0,-71650.0,82810.0,1.911488000013851e+16,2.294992999996493e+16,-16566.0
1210,2019,82539500.0,416792.0,82122708.0,1161179.0,1.4612949e+17,0.0,1.4612949e+17,6.7926551e+17,0.0,0.0,8063609.0,-17607.58,34179.42,1304126.42,-51787.0,2521230.0,1443106.0,-4817102.0,-1.4612948991787728e+17,-416792.0,-34179.42
12190,2019,657593.0,14608.0,642985.0,270194.0,9427100000000000.0,4014940000000000.0,5412160000000000.0,-2851170000000000.0,4700290000000000.0,210648.0,1059746.0,-35851.64,280242.36,29107.36,-105446.0,594244.0,83362.0,-425423.0,-5412159999357015.0,4014939999985392.0,-69594.36
12319,2019,191124.0,0.0,191124.0,17.0,1234710000000000.0,4.8762618e+17,-4.8639147e+17,676530000000000.0,320450000000000.0,-311364.0,0.0,-277.78000000000003,-310824.78,-3803.78,-817.0,59795.0,3854.0,-71736.0,4.863914700001911e+17,4.8762618e+17,-539.22
12572,2019,38820.0,16104.0,22716.0,15613.0,1060820000000000.0,6390740000000000.0,-5329920000000000.0,-672620000000000.0,280630000000000.0,0.0,18660.0,-1259.02,2443.98,-1019.02,-3703.0,-1599.0,-841.0,0.0,5329920000022716.0,6390739999983896.0,-2443.98
