cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
12190,2018,631662.0,0.0,631662.0,280600.0,8730510000000000.0,0.0,8730510000000000.0,-2413890000000000.0,5157760000000000.0,-70760000000000.0,1.046691e+16,246129400000000.03,-548540600000000.0,223879400000000.03,723910000000000.0,551790000000000.0,29160000000000.0,-417480000000000.0,-8730509999368338.0,0.0,477780600000000.0
12319,2018,139904.0,558304.0,-418400.0,7.0,1254080000000000.0,3780660000000000.0,-2526580000000000.0,144960000000000.0,333690000000000.0,-6070670000000000.0,0.0,-9921200000000.0,-6051411200000000.0,185548800000000.0,-29180000000000.0,-39140000000000.0,199210000000000.0,-160020000000000.0,2526579999581600.0,3780659999441696.0,-19258800000000.0
12530,2018,56439.0,41909.0,14530.0,28710.0,297980000000000.0,1544680000000000.0,-1246700000000000.0,266410000000000.0,49970000000000.0,-3017540000000000.0,4050000000000.0,65416000000000.01,-3144524000000000.0,-197744000000000.0,192400000000000.0,-16060000000000.0,-780000000000.0,-69480000000000.0,1246700000014530.0,1544679999958091.0,126984000000000.0
12572,2018,40979.0,0.0,40979.0,15332.0,1049080000000000.0,7035650000000000.0,-5986570000000000.0,-639290000000000.0,297820000000000.0,0.0,44620000000000.0,-27421000000000.004,53229000000000.0,-77291000000000.0,-80650000000000.0,1.031725e+16,-1681140000000000.0,-1.360714e+16,5986570000040979.0,7035650000000000.0,-53229000000000.0
12653,2018,29633743.0,3295849.0,26337894.0,10861934.0,2.3100513e+17,3486460000000000.0,2.2751867e+17,6.53323e+16,3.708316e+16,30110000000000.0,1.0016461e+17,-1.03774324e+16,2.01745376e+16,2.20126076e+16,-3.052186e+16,206770000000000.0,-166310000000000.0,-17370000000000.0,-2.275186699736621e+17,3486459996704151.0,-2.01444276e+16
12696,2018,371337.0,1646.0,369691.0,200704.0,1.42507e+16,440710000000000.0,1.380999e+16,-1.053733e+16,3066950000000000.0,3091880000000000.0,4231560000000000.0,-256601400000000.03,3589988600000000.0,-1060911400000000.0,-754710000000000.0,-1145270000000000.0,-13490000000000.0,1978570000000000.0,-1.3809989999630308e+16,440709999998354.0,-498108600000000.0
12793,2018,40818649.0,703551.0,40115098.0,12127731.0,2.6595805e+17,2.7606042e+17,-1.010237e+16,1.4222844e+17,8.29868e+16,842250000000000.0,1.8264486e+17,-9879900200000000.0,2.00208798e+16,4.97748398e+16,-2.905853e+16,661420000000000.0,711140000000000.0,-410370000000000.0,1.0102370040115098e+16,2.7606041999929645e+17,-1.91786298e+16
12823,2018,417753.0,182083.0,235670.0,70978.0,1857100000000000.0,1.19075e+16,-1.00504e+16,2320430000000000.0,438200000000000.0,5483790000000000.0,320070000000000.0,-25432000000000.0,5533158000000000.0,-65632000000000.0,-74800000000000.0,1048900000000000.0,-327750000000000.0,-1373050000000000.0,1.005040000023567e+16,1.1907499999817916e+16,-49368000000000.0
13030,2018,1419891.0,439693.0,980198.0,77166.0,1.176372e+16,1.3786189e+17,-1.2609817e+17,2435190000000000.0,900860000000000.0,4317960000000000.0,1278900000000000.0,212010400000000.0,3906410400000000.0,7460400000000.0,623560000000000.0,586010000000000.0,-689510000000000.0,-95540000000000.0,1.260981700009802e+17,1.378618899995603e+17,411549600000000.0
1325,2018,9643554.0,144050.0,9499504.0,536091.0,1.668134e+16,2.926336e+16,-1.258202e+16,7.97542e+16,0.0,3.539553e+16,2.276584e+16,-249386600000000.03,3.58796334e+16,1107023400000000.0,-733490000000000.0,177550000000000.0,-172450000000000.0,-5220000000000.0,1.2582020009499504e+16,2.926335999985595e+16,-484103400000000.0
