cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,resultado_abrangente,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,lucro_abrangente
1023,2020,1693794003.0,159404948.0,1534389055.0,176189508.0,1.676899383e+19,-5.90356193e+18,1.0865431900000002e+19,1.689462e+17,-8.354188e+16,3.098315e+16,13292883.0,98659704.0,583399.2000000001,12160402.2,12160402.2,1715880.0,206975326.0,-95707601.0,-17334908.0,-1.0865431898465614e+19,-5.903561930159405e+18,1132480.7999999998,-8.354187998670712e+16
10456,2020,4814586.0,0.0,4814586.0,2679455.0,1.796034e+16,-1.2006702e+17,-1.0210668e+17,3.018552e+16,0.0,1.277051e+16,22027.0,3364278.0,-25105.940000000002,70762.06,257279.06,-73841.0,2774176.0,-306607.0,-57073.0,1.021066800048146e+17,-1.2006702e+17,-48735.06,22027.0
10472,2020,333193.0,0.0,333193.0,145597.0,8783120000000000.0,-7632740000000000.0,1150380000000000.0,-5451190000000000.0,0.0,2138490000000000.0,176080.0,246325.0,-10095.960000000001,195678.04,-392516.96,-29694.0,4198719.0,2441552.0,-6688971.0,-1150379999666807.0,-7632740000000000.0,-19598.04,176080.0
10880,2020,98076.0,18617.0,79459.0,58937.0,280790000000000.0,2.77820621e+18,-2.77792542e+18,699970000000000.0,0.0,183720000000000.0,-412911.0,64318.0,1420.8600000000001,-415669.14,18342.86,4179.0,3819.0,-19.0,-179.0,2.7779254200000794e+18,2.7782062099999816e+18,2758.14,-412911.0
11070,2020,569367.0,25001.0,544366.0,243326.0,1071850000000000.0,2354050000000000.0,-1282200000000000.0,4621820000000000.0,-7790000000000.0,548590000000000.0,927697.0,991223.0,-73.10000000000001,927838.9,54649.9,-215.0,333623.0,-253889.0,40514.0,1282200000544366.0,2354049999974999.0,-141.89999999999998,-7789999072303.0
11207,2020,234944.0,0.0,234944.0,39758.0,2348880000000000.0,-283960000000000.0,2064920000000000.0,560000000000.0,0.0,1380230000000000.0,-201649.0,0.0,0.0,-201649.0,-706.0,0.0,232873.0,-295982.0,79052.0,-2064919999765056.0,-283960000000000.0,0.0,-201649.0
11223,2020,1002531.0,456361.0,546170.0,68365.0,2.680686e+16,2.2385917e+17,-1.9705231e+17,-1.678155e+16,0.0,2.343511e+16,-17905.0,132099.0,-40449.46000000001,60614.53999999999,-37263.46000000001,-118969.0,-61768.0,-1988551.0,5148799.0,1.9705231000054618e+17,2.2385916999954365e+17,-78519.54,-17905.0
11231,2020,240763.0,767163.0,-526400.0,136921.0,503460000000000.0,2.196286e+16,-2.14594e+16,1904170000000000.0,2225600000000000.0,381130000000000.0,2108639.0,182413.0,92.14,2108460.14,17541.14,271.0,4806513.0,-5374480.0,966966.0,2.14593999994736e+16,2.1962859999232836e+16,178.86,2225600002108639.0
11312,2020,73839787.0,36735.0,73803052.0,33795738.0,6.6069877e+17,-2915230000000000.0,6.5778354e+17,7.76991e+16,2.331007e+16,1.8013108e+17,80509.0,9284303.0,-4347774.48,8520306.52,-2608073.4800000004,-12787572.0,2182649.0,-745291.0,-1142509.0,-6.57783539926197e+17,-2915230000036735.0,-8439797.52,2.3310070000080508e+16
1155,2020,30530922.0,8313955.0,22216967.0,2082199.0,3.0340059e+17,-1.5749636e+17,1.4590423e+17,1908630000000000.0,0.0,0.0,340688.0,1543454.0,-37454.740000000005,413394.26,294360.26,-110161.0,3543000.0,-4803000.0,2279000.0,-1.4590422997778304e+17,-1.5749636000831395e+17,-72706.26,340688.0
