cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
1325,2020,11253275.0,587245.0,10666030.0,1905048.0,24926390.0,700930.0,24225460.0,87606360.0,0.0,63814.0,2225225.0,-25904.6,114099.4,234710.4,-76190.0,107418.0,4850.0,-83650.0,-24225459.98933397,700929.999412755,-50285.4
13285,2020,2031804.0,0.0,2031804.0,1347961.0,13341080.0,488810.0,12852270.0,6976960.0,7657140.0,833308.0,1564081.0,-9802.88,852337.12,57447.12,-28832.0,427194.0,-19405.0,-89642.0,-12852269.997968197,488810.0,-19029.12
13439,2020,237249.0,0.0,237249.0,78180.0,2454310.0,4618450.0,-2164140.0,-81820.0,1724930.0,182046.0,195289.0,-22442.04,225609.96,37854.96,-66006.0,115054.0,58090.0,-67352.0,2164140.000237249,4618450.0,-43563.96
13471,2020,605117.0,8016.0,597101.0,168283.0,7943330.0,2040520.0,5902810.0,-1892160.0,2740440.0,131317.0,369188.0,-11105.42,152874.58,-95455.42,-32663.0,203723.0,-10061.0,-607.0,-5902809.999402899,2040519.999991984,-21557.58
13765,2020,244123.0,7669226.0,-7425103.0,105363.0,6198320.0,345710.0,5852610.0,-3757090.0,5116420.0,67650.0,259813.0,-4879.0,77121.0,26044.0,-14350.0,68230.0,-166724.0,477847.0,-5852610.007425103,345709.992330774,-9471.0
13773,2020,2034288.0,0.0,2034288.0,916703.0,16171040.0,25514380.0,-9343340.0,4171840.0,7406200.0,24864.0,1331780.0,-10204.76,44673.24,148051.24,-30014.0,9241.0,-48932.0,42914.0,9343340.002034288,25514380.0,-19809.24
13781,2020,3075269.0,623256.0,2452013.0,586073.0,15192340.0,50871690.0,-35679350.0,15560350.0,2146100.0,2347457.0,339364.0,-29559.6,2404837.4,146245.4,-86940.0,3737.0,36003.0,22123.0,35679350.00245201,50871689.99937674,-57380.4
1384,2020,16451325.0,841.0,16450484.0,2329211.0,164222530.0,14314710.0,149907820.0,290720.0,233350.0,-65455.0,739118.0,-9065.08,-47858.08,92551.92,-26662.0,2906270.0,-2469266.0,5419603.0,-149907819.9835495,14314709.99999916,-17596.92
13986,2020,101800748.0,11313.0,101789435.0,17957994.0,944633700.0,710854440.0,233779260.0,73373780.0,81728230.0,-10714935.0,30460277.0,-8869077.82,6501510.18,6501510.18,-26085523.0,8673871.0,-5293356.0,-3089273.0,-233779259.89821056,710854439.9999888,-17216445.18
14109,2020,8980458.0,1473000.0,7507458.0,5307593.0,63162940.0,270494750.0,-207331810.0,26641640.0,30409200.0,405206.0,5363035.0,74009.84000000001,261539.84000000003,698425.84,217676.0,6361434.0,-3123532.0,-1256269.0,207331810.00750744,270494749.998527,143666.15999999995
14206,2020,25496999.0,12009.0,25484990.0,2973131.0,42707950.0,131100.0,42576850.0,212262040.0,0.0,423379.0,3373121.0,-65942.32,551384.6799999999,551384.6799999999,-193948.0,1342251.0,-996938.0,323372.0,-42576849.974515006,131099.999987991,-128005.68
14311,2020,46784664.0,0.0,46784664.0,11407431.0,265341460.0,6652290.0,258689170.0,202505180.0,96543920.0,-115783.0,18633249.0,294532.14,-687521.86,3262433.14,866271.0,19341750.0,-6408456.0,-10564590.0,-258689169.95321533,6652290.0,571738.86
14320,2020,29952137.0,0.0,29952137.0,11829602.0,131139670.0,37132060.0,94007610.0,168381700.0,44790980.0,-30980.0,16088052.0,-368047.28,683464.72,2006187.72,-1082492.0,-1173.0,0.0,0.0,-94007609.97004786,37132060.0,-714444.72
14346,2020,7100413.0,322860.0,6777553.0,5421277.0,51718020.0,6800770.0,44917250.0,19286110.0,46860160.0,25831.0,9258703.0,1472.88,22971.88,710877.88,4332.0,146291.0,-481586.0,712780.0,-44917249.993222445,6800769.99967714,2859.12
14460,2020,11433926.0,1348899.0,10085027.0,6058633.0,56372980.0,75708320.0,-19335340.0,57966280.0,21063590.0,342969.0,3823695.0,28730.340000000004,287198.34,1773725.34,84501.0,256343.0,-1533908.0,3269197.0,19335340.010085028,75708319.9986511,55770.66
14664,2020,1782481.0,0.0,1782481.0,1166920.0,10401050.0,283610.0,10117440.0,7423760.0,5115890.0,1391.0,1051181.0,11169.68,-20291.32,120136.68,32852.0,4151670.0,-123001.0,-1744530.0,-10117439.99821752,283610.0,21682.32
14761,2020,2340605.0,0.0,2340605.0,1429280.0,7183070.0,201670.0,6981400.0,16222980.0,6340680.0,25242.0,1073495.0,62370.62,-95830.38,221896.62,183443.0,-30130.0,19004.0,-14973.0,-6981399.997659395,201670.0,121072.38
14826,2020,53295000.0,31536.0,53263464.0,17641000.0,364880000.0,69698940.0,295181060.0,168070000.0,184830000.0,391709.0,51253000.0,-247520.00000000003,872189.0,1719480.0,-728000.0,23781810.0,-7833134.0,-9022124.0,-295181059.9467365,69698939.99996847,-480480.0
1520,2020,662502.0,14773.0,647729.0,260941.0,8256470.0,795441340.0,-787184870.0,-1631450.0,4987190.0,1728762.0,20374.0,-5347.18,1739141.82,-55075.18,-15727.0,1284848.0,-1330935.0,459305.0,787184870.0006477,795441339.9999853,-10379.82
15253,2020,45562807.0,204056.0,45358751.0,13594051.0,380471380.0,184455990.0,196015390.0,75156690.0,124012700.0,1607474.0,20330208.0,-222970.64,2040299.36,1951822.36,-655796.0,1183054.0,-1895113.0,3208921.0,-196015389.95464125,184455989.99979597,-432825.36
15423,2020,27245.0,91579.0,-64334.0,26652.0,127160.0,824130.0,-696970.0,145290.0,39420.0,12330.0,30809.0,1066.5800000000004,10259.58,10259.58,3137.0,39840.0,-6487.0,-35418.0,696969.999935666,824129.999908421,2070.42
15458,2020,155170.0,2077499.0,-1922329.0,66949.0,1291860.0,23391980.0,-22100120.0,259840.0,572080.0,-92431.0,453812.0,-3151.46,-86313.46,22014.54,-9269.0,506086.0,-34931.0,-482812.0,22100119.998077672,23391979.9979225,-6117.54
15539,2020,66297000.0,188908.0,66108092.0,14977000.0,447880000.0,224465040.0,223414960.0,215090000.0,120000000.0,2905000.0,31989000.0,-350200.0,3584800.0,3584800.0,-1030000.0,1376437.0,-191642.0,286571.0,-223414959.9338919,224465039.9998111,-679800.0
1562,2020,214531.0,97500.0,117031.0,129953.0,932800.0,81874930.0,-80942130.0,1212510.0,634720.0,495533.0,162973.0,1345.0400000000004,492922.04,13820.04,3956.0,276234.0,-92218.0,-231574.0,80942130.00011702,81874929.9999025,2610.96
1597,2020,5670951.0,0.0,5670951.0,98322.0,19231640.0,728010.0,18503630.0,37477870.0,76110.0,-6804.0,1353.0,266.90000000000003,-7322.1,-7322.1,785.0,3480740.0,-2438112.0,-608285.0,-18503629.994329046,728010.0,518.0999999999998
