cd_cvm,dt_fim_exerc,liquidez_corrente,margem_operacional_liquida_continuada,margem_operacional_liquida,giro_ativo,retorno_patrimonio_liquido,alavancagem,retorno_ativo_oper_liq,custo_pass_fin_liq,spread,accrual,cnpj
1023,2020,5.6866234711448,0.12325601747193565,0.12325601747193565,-0.009278745977898161,0.07868116003792923,36.31998452667533,0.007925240446921722,0.00018455965301581272,0.008109800099937534,-194814923.8,00.000.000/0001-91
10456,2020,0.2098158178490914,0.07647378129869173,0.021033356934236705,0.03085786960941267,0.0007297207402754698,4.206828307082336,0.05343742120298609,-0.0003837850522855795,0.053053636150700516,-2703413.94,61.079.117/0001-05
10472,2020,0.0680840219033056,-1.5934921749720898,0.7943896884197706,0.2636748018755571,-0.032301203957301065,-1.782605266006138,-1.1780468377186797,-0.002016815335915664,-1.1800636530545954,-4003040.96,60.500.139/0001-26
10880,2020,0.320797953407359,0.2851901489474175,-6.462718679063404,2.3153249377011056e-05,-0.5898981384916496,3969.0361158335086,0.23084685183553783,9.927772784008062e-07,0.23084784461281624,-419488.14,33.386.210/0001-19
11070,2020,0.44354800488525126,0.05513380944550318,0.9360546516777759,0.7292479618044071,0.20072114448420753,0.5260027435025594,0.10039183196599347,-5.8368879803487e-05,0.10033346308618998,594215.9,33.228.024/0001-51
11207,2020,0.028805344036863422,0.0,0.0,-0.0,-3.600875e-07,5.070714285714285e-07,-0.00300497139743939,0.0,-0.00300497139743939,-434522.0,33.111.246/0001-90
11223,2020,0.0029172041436972135,-0.2820873738635418,0.45885691791762234,0.0006473811616519392,0.0010669455443627078,-13.756667888219123,-0.06822685244520939,-0.00034012019758862034,-0.06856697264279801,122382.54,82.636.986/0001-55
11231,2020,0.35925012462939154,0.09616167707345419,11.558716429201867,0.008494724705056219,1.1073795932085895,11.541585047150644,-0.03332283434650456,8.1384565965473e-06,-0.03331469588990801,-2698052.86,33.467.572/0001-34
11312,2020,0.1876174727870393,-0.28091214601677694,0.9177109493302835,-0.01411883535186553,0.0010361638680499517,0.04010329591929977,-0.03533828763612649,-2.7085444818820017,-2.743882769518128,6337657.52,76.535.764/0001-43
1155,2020,0.0,0.1907152788486084,0.26783711079176964,-0.010650363639414092,0.17849871373707843,83.0335266613676,0.013249344971345549,-0.000458771652875766,0.012790573318469783,-3129605.74,28.127.603/0001-78
11592,2020,0.1541290110551166,0.12084995616850425,1.034650685857563,-0.17088553188031957,0.22454930567974613,0.2907490861175055,0.11037571101760607,-0.019235554484211825,0.09114015653339425,3915396.58,33.958.695/0001-78
11762,2020,0.36401572868026544,0.026792347868561352,0.0029445221318711327,-1.2333849345471313,0.0003049598629457772,0.4071916146700622,0.01881446165976082,-8.785578209321964e-06,0.0188056760815515,-25715.74,50.926.955/0001-42
11932,2020,0.11859814159883707,-0.030379678577918692,0.013344084538810724,-0.10401255859861842,-0.0009695324002744321,0.04902648364968558,-0.021614076087053624,-0.08247911348029047,-0.10409318956734409,87713.76,61.156.113/0001-75
11975,2020,0.0251831089522046,-1.0111450501253132,48.51579730576441,0.0004828280838198385,-0.5115747414734141,-23.30103660615735,0.7644206288116525,-0.00019755479363297337,0.7642230740180196,1209711.4,61.351.532/0001-68
11991,2020,0.036512943850950094,0.22941366296559645,0.32202701963572716,-0.044594042502733085,-0.020763343926324663,-0.22116652610514678,0.31740963912405995,-0.02121831777933291,0.29619132134472703,499995.96,84.683.671/0001-94
1210,2020,0.23424638822726707,0.09860129586648797,0.025495300164370648,-0.008213822430419808,0.003981412391937421,0.3417897279103374,0.007900184639710765,-0.015709183192454155,-0.00780899855274339,159874.28,92.702.067/0001-96
12190,2020,0.05777071533759122,0.07820562300685249,0.8317600061751255,-0.19086174847620946,-0.37070088635631276,-1.28894481579869,0.16849118230706275,-0.015891221175453458,0.15259996113160929,-3458599.9,50.564.053/0001-03
12319,2020,5.356823998571514e-05,0.0,0.0,0.0,-0.0896375852091609,1158.3014892189349,-0.07114378537696353,-1.5182739683462506e-07,-0.07114393720436037,-569052.42,60.637.238/0001-54
12572,2020,0.07716784066067525,-0.0010008767315448036,2.0161830615465544,-0.026178322898302905,-0.08655260115606936,0.05580578034682081,-0.0036370587485663407,0.037025190586675506,0.03338813183810917,330265.46,91.333.666/0001-17
12653,2020,0.2984905099582894,0.18828146673212376,0.3895003512488373,-0.04055013662163512,0.0003382852565966537,0.3235713417336966,0.06467340746004016,-0.3269863298445435,-0.2623129223845033,4656208.46,89.637.490/0001-45
12696,2020,0.06167637992821561,-0.15810646352146165,-0.15810646352146165,-0.03468132518040723,0.010191516434596938,-0.22045887091219535,-0.20242592351521585,-0.019636187838944448,-0.2220621113541603,-80019.44,14.807.945/0001-24
12823,2020,0.24930246924172486,3.6127539971949507,0.8643669004207574,0.002446257808649303,0.0062866587849083454,3.6392220781059295,0.13309167791310242,0.00010762249804974567,0.13319930041115216,16207.34,61.156.931/0001-78
13030,2020,0.0198859980433571,0.11842447808367297,-0.5088420111453048,-0.007537854239093862,-0.0006144717293631308,0.35190513166930737,0.007221964382630573,0.060678885742710645,0.06790085012534122,-1487700.46,89.723.993/0001-33
1325,2020,0.0,0.10547715399566336,0.05127544405621903,-0.09185480898937425,0.0007284174345332919,0.00800090312407404,0.022005413448115185,-0.07174097276779354,-0.04973555931967835,6681.399999999994,17.184.037/0001-10
13285,2020,0.17603974852229423,0.03672899293578785,0.5449443602984756,-0.12169686757648761,0.11943711874512682,0.07006059945879008,0.028273947683930146,-0.03892948180274544,-0.010655534118815296,425143.12,87.456.562/0001-22
13439,2020,0.04532357834810688,0.19384071811520362,1.1552619963233977,0.09023861671545787,-2.2249572231728183,-56.44646785626986,0.15955793280477473,-0.009432593186025615,0.15012533961874913,110555.96,85.778.074/0001-06
13471,2020,0.06140729225963714,-0.2585550451260604,0.4140832854805681,-0.06254444917545125,-0.06940057923220024,-1.0784077456409522,-0.15986477999534418,-0.010564748201480352,-0.17042952819682453,-50848.42000000001,51.928.174/0001-50
13765,2020,0.020593110026151096,0.10024132741625708,0.296832721996205,-0.0443926726145053,-0.01800595673779441,-0.09201536091250781,-0.003507560770537459,-0.0273957947704855,-0.03090335554102296,8891.0,90.076.886/0001-40
13773,2020,0.1237750803380951,0.11116794065085825,0.0335440087702173,0.14253789327050465,0.00595996011352305,6.115857751016338,0.07277791541807256,-0.0007763951152252182,0.07200152030284734,35432.24,83.475.913/0001-91
13781,2020,0.2730874609757234,0.43093964003253143,7.086306738487288,0.009511496144875894,0.1508614523452236,3.269315278857914,0.0596429953674797,-0.0011279436559057307,0.058515051711573965,2401100.4,29.780.061/0001-09
1384,2020,9.981619884293979,0.12521941016184154,-0.06475025638666627,-0.004930483280199184,-0.2251479086406164,49.23882085855517,0.005626091001334672,-0.001229289311484552,0.004396801689850119,-2954128.08,60.770.336/0001-65
13986,2020,0.21972816491926964,0.21344225398869485,0.21344225398869485,-0.1302950356385877,-0.1460322066002324,9.688126194397901,0.06387215117168103,-0.024219367863834784,0.039652783307846245,-2172360.8200000003,16.404.287/0001-55
14109,2020,0.17453905397050892,0.13022958828349993,0.04876713278954921,0.025866918346035786,0.015209499114919351,10.153081792206748,0.0930309353712002,0.0005311236539739951,0.0935620590251742,-6099894.16,89.086.144/0001-16
14206,2020,0.0,0.1634642457237674,0.1634642457237674,-0.07922429681902325,0.0019946053472396667,0.0006176328088997496,0.02163566397318578,-0.9763972540940163,-0.9547615901208306,-790866.3200000002,00.000.208/0001-00
14311,2020,0.11815794303773867,0.17508664967660767,-0.036897583454179136,-0.07202949007633322,-0.0005717532756446032,0.03284997450435589,0.06973296078390133,0.08594617191974493,0.15567913270364625,-20029271.86,76.483.817/0001-20
14320,2020,0.26410679114410984,0.12470047461308553,0.042482751796177685,-0.17113563471218848,-0.00018398673965163673,0.22052313285826192,0.06697978578289757,-0.01924064326083713,0.047739142522060435,684637.72,60.894.730/0001-05
14346,2020,0.11569053541430503,0.07677942364065464,0.002481112095290237,-0.20612800207931345,0.001339357703549342,0.35262528315337516,0.10488710010825442,0.0004204112181614337,0.10530751132641585,-123319.12,59.105.999/0001-86
14460,2020,0.28763534611146535,0.46387730715969766,0.07511015915233825,0.19775680169087367,0.005916698466763781,1.3060751871372651,0.17587710374994533,0.0007366516652462196,0.17661375541519156,30855.340000000026,73.178.600/0001-18
14664,2020,0.2280971639343301,0.11428733966843008,-0.019303354988341685,-0.10389792281300368,0.0001873713589878983,0.03820301302843842,0.06739857535648346,0.07645118296251895,0.1438497583190024,-4171961.32,84.693.183/0001-68
14761,2020,0.22541430887538877,0.20670484725126806,-0.08926951685848561,-0.15376500420544634,0.0015559410170018085,0.01243113164165893,0.09480310432559103,0.6003489859671741,0.6951520902927651,-65700.38,78.876.950/0001-71
14826,2020,0.09544446247903479,0.03354886543226738,0.01701732581507424,-0.17363241398092502,0.002330630094603439,0.4147018504192805,0.03228254174381148,-0.006893648597815366,0.025388893145996117,-22909621.0,47.508.411/0001-56
