cvm,cnpj
11070,33.228.024/0001-51
18465,33.256.439/0001-39
10880,33.386.210/0001-19
9989,33.412.081/0001-96
3182,33.433.665/0001-48
11231,33.467.572/0001-34
3328,33.541.368/0001-16
4170,33.592.510/0001-54
3980,33.611.500/0001-19
80128,33.937.681/0001-78
11592,33.958.695/0001-78
21172,36.461.242/0001-20
4820,42.150.391/0001-70
20710,42.278.291/0001-24
15458,42.331.462/0001-31
6815,43.185.362/0001-07
20524,43.470.988/0001-65
14443,43.776.517/0001-80
20346,45.453.214/0001-51
701,45.987.245/0001-92
4774,46.014.635/0001-49
14826,47.508.411/0001-56
22470,47.960.950/0001-21
20877,49.263.189/0001-02
21440,49.669.856/0001-43
12190,50.564.053/0001-03
11762,50.926.955/0001-42
20494,51.218.147/0001-93
13471,51.928.174/0001-50
22020,52.548.435/0001-79
2488,52.736.840/0001-10
19992,53.113.791/0001-22
12262,53.790.218/0001-53
12530,54.526.082/0001-31
5770,56.643.018/0001-66
7510,56.720.428/0001-63
14559,56.806.656/0001-50
1694,56.992.423/0001-90
20125,58.119.199/0001-51
19046,58.877.812/0001-08
22381,59.104.513/0001-95
14346,59.105.999/0001-86
21199,59.285.411/0001-13
14931,60.394.723/0001-44
9393,60.398.369/0004-79
8575,60.476.884/0001-87
10472,60.500.139/0001-26
8672,60.543.816/0001-93
12793,60.643.228/0001-21
9067,60.651.809/0001-05
3654,60.730.348/0001-66
906,60.746.948/0001-12
1384,60.770.336/0001-65
21881,60.840.055/0001-31
1520,60.851.615/0001-53
19348,60.872.504/0001-23
4650,60.882.628/0001-90
20680,60.889.128/0001-80
14320,60.894.730/0001-05
4723,61.022.042/0001-18
20885,61.024.352/0001-71
8397,61.065.298/0001-02
16306,61.065.751/0001-80
9040,61.067.161/0001-97
10456,61.079.117/0001-05
8427,61.082.004/0001-50
2100,61.088.894/0001-08
5762,61.092.037/0001-81
11932,61.156.113/0001-75
12823,61.156.931/0001-78
22055,61.189.288/0001-89
11975,61.351.532/0001-68
1562,61.374.161/0001-30
19623,61.486.650/0001-83
7617,61.532.644/0001-15
19798,61.565.222/0001-46
3190,61.584.140/0001-49
20753,62.136.254/0001-99
20567,62.144.175/0001-20
20796,62.232.889/0001-90
19631,62.258.884/0001-36
20451,67.010.660/0001-24
20486,67.203.208/0001-89
20702,67.571.414/0001-41
20931,67.620.377/0001-14
21032,71.208.516/0001-74
21148,71.476.527/0001-35
19550,71.673.990/0001-77
14460,73.178.600/0001-18
3336,76.255.926/0001-90
14311,76.483.817/0001-20
20974,76.500.180/0001-32
11312,76.535.764/0001-43
7595,76.627.504/0001-06
2909,78.588.415/0001-15
14761,78.876.950/0001-71
15610,79.655.916/0001-30
20362,81.243.735/0001-48
20656,82.373.077/0001-71
11223,82.636.986/0001-55
4146,82.640.558/0001-04
20141,82.641.325/0001-18
7544,82.982.075/0001-80
13773,83.475.913/0001-91
2461,83.878.892/0001-55
5410,84.429.695/0001-11
8486,84.429.752/0001-62
6343,84.683.374/0001-49
5207,84.683.408/0001-03
11991,84.683.671/0001-94
14664,84.693.183/0001-68
19801,86.047.198/0001-84
8753,86.375.425/0001-09
19658,86.550.951/0001-50
13285,87.456.562/0001-22
3298,87.762.563/0001-03
6211,88.610.126/0001-29
5312,88.610.191/0001-54
8451,88.611.835/0001-29
14109,89.086.144/0001-16
20745,89.096.457/0001-55
20060,89.463.822/0001-12
12858,89.547.269/0001-04
12653,89.637.490/0001-45
13030,89.723.993/0001-33
19615,89.850.341/0001-60
13765,90.076.886/0001-40
20532,90.400.888/0001-42
12572,91.333.666/0001-17
13412,91.820.068/0001-72
7870,91.983.056/0001-69
4537,92.012.467/0001-70
8192,92.660.570/0001-26
140,92.660.604/0001-82
9342,92.665.611/0001-77
8656,92.690.783/0001-09
94,92.693.019/0001-89
1210,92.702.067/0001-96
8133,92.754.738/0001-62
6173,92.781.335/0001-02
2429,92.791.243/0001-03
16748,92.802.784/0001-90
5150,92.825.900/0001-96
10960,92.929.520/0001-00
21091,97.837.181/0001-47
23000,01.917.818/0001-36
22799,04.065.791/0001-99
23035,06.948.969/0001-75
22810,07.401.436/0001-31
21563,09.400.937/0001-29
21725,10.345.009/0001-98
22284,11.858.621/0001-27
22209,11.995.753/0001-09
22675,12.648.327/0001-53
22586,13.444.994/0001-87
80144,14.388.520/0001-28
80152,15.073.274/0001-88
23574,17.314.329/0001-20
22616,30.306.294/0001-45
13366,30.540.991/0001-66
22829,33.039.223/0001-11
5258,61.585.865/0001-51
3174,84.208.123/0001-02
80101,05.711.813/0001-03
