cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante
18287,2010,162474.0,35106.0,127368.0,106394.0
18350,2010,4210730.0,944766.0,3265964.0,795505.0
18376,2010,6931418.0,0.0,6931418.0,1596745.0
18414,2010,528778.0,171779.0,356999.0,366348.0
18465,2010,12989843.0,601918.0,12387925.0,6457487.0
18635,2010,475.0,0.0,475.0,475.0
18651,2010,1227215.0,25288.0,1201927.0,203557.0
18660,2010,20056805.0,224023.0,19832782.0,3898188.0
18678,2010,76192636.0,14028.0,76178608.0,22396324.0
18708,2010,830238.0,198222.0,632016.0,512742.0
18716,2010,388279.0,3128.0,385151.0,82103.0
18724,2010,14281252.0,0.0,14281252.0,4365569.0
18775,2010,3868951.0,7638934.0,-3769983.0,190044.0
18821,2010,12767531.0,0.0,12767531.0,1721541.0
18902,2010,37925581.0,7876.0,37917705.0,15833094.0
18953,2010,7260394.0,0.0,7260394.0,700350.0
18961,2010,2929216.0,20207.0,2909009.0,1282594.0
18970,2010,18215134.0,2386.0,18212748.0,4220454.0
18988,2010,62986126.0,265481.0,62720645.0,33522130.0
19046,2010,2220434.0,106136.0,2114298.0,1317519.0
19062,2010,7258465.0,0.0,7258465.0,989416.0
19089,2010,41317707.0,0.0,41317707.0,8514022.0
19100,2010,1378557.0,81553.0,1297004.0,602073.0
19143,2010,1845686.0,298740.0,1546946.0,723929.0
19216,2010,478224.0,49667.0,428557.0,101843.0
19305,2010,4907.0,0.0,4907.0,1237.0
19313,2010,12343594.0,511.0,12343083.0,3307251.0
19330,2010,3015614.0,0.0,3015614.0,166174.0
19348,2010,727481000.0,0.0,727481000.0,10172000.0
19402,2010,1.0,0.0,1.0,0.0
19437,2010,6162468.0,174.0,6162294.0,821001.0
19445,2010,7345295.0,132452.0,7212843.0,661156.0
19453,2010,4165776.0,0.0,4165776.0,1076880.0
19550,2010,3221871.0,194619.0,3027252.0,1869897.0
19569,2010,9063847.0,6607.0,9057240.0,2704852.0
19615,2010,1999297.0,3717.0,1995580.0,1783675.0
19623,2010,1944939.0,1451.0,1943488.0,845160.0
19631,2010,4233510.0,0.0,4233510.0,969832.0
19658,2010,201236.0,3277.0,197959.0,34356.0
19739,2010,3354711.0,24821365.0,-21466654.0,751385.0
19763,2010,12810115.0,38561.0,12771554.0,2874677.0
19771,2010,4821477.0,18788.0,4802689.0,1387678.0
19798,2010,453650.0,18077.0,435573.0,150414.0
19801,2010,181374.0,132164000.0,-131982626.0,107675.0
19860,2010,403006.0,21173.0,381833.0,359859.0
19879,2010,9594924.0,62885.0,9532039.0,2378168.0
19887,2010,1987182.0,39083.0,1948099.0,726718.0
19909,2010,10569767.0,0.0,10569767.0,514994.0
