,cd_cvm,dt_fim_exerc,ativo_operacional,passivo_operacional,ativo_operacional_liquido,ativo_financeiro,passivo_financeiro,passivo_financeiro_liquido,patrimonio_liquido,resultado_operacional_liquido,resultado_operacional_liquido_continuado,resultado_financeiro,protecao_fiscal,resultado_financeiro_liquido,resultado_abrangente,lucro_liquido,lucro_abrangente,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financeiro,ativo_circulante,passivo_circulante,receita_vendas,liquidez_corrente,margem_operacional_liquida_continuada,margem_operacional_liquida,giro,rspla,rspl,alavancagem,raol,cpfl,spread
12,16292,2013,31915001,14981821,16933180,459568,2696594,2237026,14696154,1560210.76,1513031.76,-747536,-254162.24000000002,-493373.76,-152686.0,1066837,914151.0,3318683,-1512634,-757269,13242523,8436031,27787477,1.5697575080034676,0.05445013089889377,0.05614798205680926,1.6410075957380716,0.06220341730224112,0.07259293826126209,0.15221846477656673,0.08935307839401696,-0.2205489609865956,-0.13119588259257864
13,19313,2013,10546122,7746523,2799599,835843,120715,-715128,3514727,139482.34,139482.34,16801,5712.34,11088.66,304533.0,150571,455104.0,789200,-599649,-149470,2693120,2204983,9012207,1.2213790310401487,0.015477045744732671,0.015477045744732671,3.219106379163587,0.12948487891093674,0.04284002712017178,-0.2034661582535429,0.0498222566874756,-0.015505839514045038,0.03431641717343056
14,23000,2013,2087778,1319807,767971,14765,75982,61217,706754,257898.6,257898.6,-88960,-30246.4,-58713.6,2925.0,199185,202110.0,171162,-96528,-55247,292435,252777,558660,1.1568892739450187,0.4616378477070132,0.4616378477070132,0.7274493437903254,0.2859693754828413,0.2818307360128135,0.08661712561938101,0.33581814938324495,-0.9591061306499828,-0.6232879812667379
15,18708,2013,604753,140796,463957,64207,23928,-40279,504236,-21412.34,-21412.34,15099,5133.660000000001,9965.34,-4010.0,-11447,-15457.0,34253,-18448,-8875,339962,91990,229834,3.695640830525057,-0.09316437080675619,-0.09316437080675619,0.4953778044085982,-0.030654296797531316,-0.022701671439564013,-0.07988124608318327,-0.04615156145935938,-0.24740783038307804,-0.2935593918424374
16,16497,2013,332309,75831,256478,0,13236,13236,243242,15358.34,15358.34,-1399,-475.66,-923.3399999999999,-11405.0,14435,3030.0,-2996,-11253,13232,7343,22470,486,0.326791277258567,31.601522633744857,31.601522633744857,0.0018948993675870834,0.012456730334399486,0.05934419220364904,0.05441494478749558,0.059881705253472035,-0.06975974614687216,-0.00987804089340013
17,18287,2013,101014,55554,45460,28128,0,-28128,73588,2890.92,2890.92,2738,930.9200000000001,1807.08,-262.0,4698,4436.0,1847,-100,-7638,98388,42796,19249,2.298999906533321,0.1501854641799574,0.1501854641799574,0.4234271887373515,0.06028156764689895,0.06384193074957874,-0.38223623416861446,0.06359260888693356,-0.06424488054607508,-0.0006522716591415151
18,18678,2013,77912839,56699564,21213275,492510,5150494,4657984,16555291,2542849.7199999997,2542849.7199999997,-3587592,-1219781.28,-2367810.7199999997,128931.0,175039,303970.0,7119556,-6770155,-2406604,18001848,16534645,28422147,1.088735077166761,0.0894671933123138,0.0894671933123138,1.339828338622867,0.018360897431522045,0.010572994458387957,0.28135923433783194,0.11987068097688829,-0.5083338027781975,-0.3884631218013092
19,16659,2013,13579291,14515807,-936516,6830024,0,-6830024,5893508,764943.88,764943.88,958132,325764.88,632367.12,-330.0,1397311,1396981.0,1358648,-364157,-341290,15755470,13977644,0,1.1271906767692752,0.0,0.0,0.0,0.23703726201779993,0.23709325583336782,-1.1589063763042318,-0.8167974492694199,-0.0925863686569769,-0.9093838179263968
20,16632,2013,691283,487311,203972,4673,155888,151215,52757,-65083.66,59493.34,-70449,-23952.660000000003,-46496.34,-5340.0,-111580,-116920.0,33067,-2500,-42050,289269,319670,349282,0.9048988018894485,0.17033039206142886,-0.18633556839459234,1.712401702194419,-2.2161987982637377,-2.1149800026536765,2.8662547150141213,0.29167405330143353,-0.30748497172899514,-0.015810918427561604
21,16993,2013,1131544,378873,752671,0,0,0,752671,-10204.239999999998,-10204.239999999998,79114,26898.760000000002,52215.24,56511.0,42011,98522.0,-50006,42946,37914,244629,92824,202697,2.6354067913470653,-0.05034233363098614,-0.05034233363098614,0.2693035868261166,0.13089650059587787,0.055815887685323334,0.0,-0.013557371016021606,0.0,-0.013557371016021606
22,20800,2013,1200483,715650,484833,0,83235,83235,401598,51573.8,101491.8,-18330,-6232.200000000001,-12097.8,47034.0,39476,86510.0,65338,16247,110503,609946,266364,1577913,2.2898965325644607,0.0643202762129471,0.032684818491260294,3.2545495046748054,0.21541441939451889,0.09829730227740179,0.20725949830427443,0.20933352308939368,-0.1453451072265273,0.06398841586286638
23,18414,2013,858211,580580,277631,8820,163503,154683,122948,-2612.5800000000017,-1386.5800000000017,-27087,-9209.58,-17877.42,-957.0,-20490,-21447.0,49405,-76421,42331,640490,665191,1538362,0.962866304565155,-0.0009013353163949719,-0.001698286879161083,5.541031080823107,-0.17443960048150436,-0.16665582197351725,1.2581172528223314,-0.004994327002388068,-0.11557456216908127,-0.12056888917146934
24,23434,2013,558127,504493,53634,92266,67565,-24701,78335,102840.84,102840.84,-42074,-14305.160000000002,-27768.839999999997,0.0,75072,75072.0,121903,-135595,2005,119002,117915,383480,1.0092185048551923,0.2681778449984354,0.2681778449984354,7.149942200842749,0.9583455671155933,0.9583455671155933,-0.3153252058466841,1.9174560912853786,1.1241990202825796,3.041655111567958
25,17450,2013,19195066,13998076,5196990,16558,1158458,1141900,4055090,591551.38,770848.38,-905943,-308020.62,-597922.38,-86785.0,-6371,-93156.0,1001275,-1233172,605924,4038145,3107686,3381613,1.2994057314670788,0.22795286746295332,0.17493172045411465,0.6506868398823165,-0.0229726097324597,-0.001571111861882227,0.2815967093208782,0.14832593097158162,-0.5236206147648655,-0.3752946837932839
26,18660,2013,31017990,20406616,10611374,24806,1837462,1812656,8798718,1590188.38,1590188.38,-971443,-330290.62,-641152.38,460226.0,949036,1409262.0,2517546,-1694539,948381,7264323,4905531,14633856,1.4808433582419518,0.10866502854749971,0.10866502854749971,1.379072681822354,0.16016674247316484,0.10786071334483047,0.20601364880656478,0.1498569723393031,-0.35370880078735295,-0.20385182844804986
27,17329,2013,12637626,6606100,6031526,0,666915,666915,5364611,1691190.8599999999,1691190.8599999999,-385521,-131077.14,-254443.86,14470.0,1436747,1451217.0,2331194,-554713,-1732181,2321687,2166933,5568658,1.0714161443847132,0.3036981010505583,0.3036981010505583,0.9232585584477295,0.2705167252574325,0.2678194187798519,0.12431749478200749,0.28039187097925133,-0.38152367243201907,-0.10113180145276773
28,17418,2013,7214,10,7204,0,0,0,7204,-549.42,-549.42,587,199.58,387.41999999999996,0.0,-162,-162.0,-571,0,0,1163,10,0,116.3,0.0,0.0,0.0,-0.022487506940588563,-0.022487506940588563,0.0,-0.07626596335369239,0.0,-0.07626596335369239
29,22551,2013,3233106,1553580,1679526,0,92194,92194,1587332,119605.01999999999,119605.01999999999,-61697,-20976.980000000003,-40720.02,-13228.0,78885,65657.0,157786,-642677,539744,914495,499044,1036492,1.8324937280079512,0.11539405996380096,0.11539405996380096,0.6171336436589847,0.041363117482669035,0.0496965978131859,0.058081107165986696,0.07121355668206386,-0.4416775495151528,-0.37046399283308895
30,17639,2013,28138167,12576869,15561298,0,966658,966658,14594640,1705409.2,1705409.2,-302720,-102924.8,-199795.2,2245.0,1505614,1507859.0,5269502,-3566943,-844697,10740804,8048103,19921291,1.3345758621627979,0.08560736349868088,0.08560736349868088,1.2801818331607042,0.10331594338743538,0.1031621197919236,0.06623376801346248,0.10959299153579605,-0.20668654270693462,-0.09709355117113858
31,17671,2013,69503838,25085683,44418155,0,1523713,1523713,42894442,3857686.6,3857686.6,-214760,-73018.40000000001,-141741.59999999998,-943.0,3715945,3715002.0,9576280,-5543799,-4622030,15899396,13731007,34721897,1.1579191533439608,0.11110241470965714,0.11110241470965714,0.7817050708207038,0.08660800389943293,0.08662998809962372,0.03552238772566385,0.08684932095896374,-0.09302381747743832,-0.006174496518474584
32,17493,2013,363334,0,363334,0,0,0,363334,-463719.02,-463719.02,-12803,-4353.02,-8449.98,0.0,-472169,-472169.0,-439949,0,0,363334,0,0,0.0,0.0,0.0,0.0,-1.2995453219351891,-1.2995453219351891,0.0,-1.2762885389201122,0.0,-1.2762885389201122
33,17558,2013,178667,0,178667,0,0,0,178667,-304421.98,-304421.98,-12347,-4197.9800000000005,-8149.0199999999995,0.0,-312571,-312571.0,-275487,0,0,178667,0,0,0.0,0.0,0.0,0.0,-1.749461288318492,-1.749461288318492,0.0,-1.7038511868448005,0.0,-1.7038511868448005
34,17922,2013,48561,12967,35594,40,0,-40,35634,-61965.600000000006,-61965.600000000006,134960,45886.4,89073.6,798.0,27108,27906.0,1116952,4776,-1127803,25680,10547,14077,2.4348155873708164,-4.401903814733253,-4.401903814733253,0.3954880035961117,0.7831284728068698,0.7607341303249705,-0.0011225234326766571,-1.7409001517109628,-2226.84,-2228.580900151711
35,17914,2013,7245982,5836660,1409322,0,11372,11372,1397950,-1575684.74,-1575684.74,-746661,-253864.74000000002,-492796.26,-30642.0,-2068481,-2099123.0,281366,-1066611,304207,7151895,5763682,1041164,1.2408552380231943,-1.5133876507447435,-1.5133876507447435,0.7387694224598779,-1.5015723022997962,-1.4796530634142853,0.008134768768553954,-1.1180445206986054,-43.33417692578262,-44.452221446481225
36,17892,2013,2206630,610814,1595816,0,147847,147847,1447969,273926.76,273926.76,-28586,-9719.240000000002,-18866.76,1753.0,255060,256813.0,410813,-83008,-341262,305901,360595,1377354,0.8483229107447413,0.1988789810027052,0.1988789810027052,0.8631032650380746,0.17736084128872925,0.1761501800107599,0.10210646774896424,0.17165309785088007,-0.12761002928703322,0.04404306856384685
37,17973,2013,4079162,1347295,2731867,0,113178,113178,2618689,533209.6,533209.6,-25210,-8571.400000000001,-16638.6,0.0,516571,516571.0,559596,-175286,-180998,835079,479092,2015942,1.7430451771267315,0.26449649841116457,0.26449649841116457,0.7379356315662512,0.19726321071345243,0.19726321071345243,0.04321933608763775,0.1951813906021047,-0.1470126703069501,0.04816872029515462
38,18821,2013,14033010,8218162,5814848,0,2329307,2329307,3485541,1785640.24,1785640.24,-632964,-215207.76,-417756.24,77525.0,1367884,1445409.0,2464567,-815988,-980906,1824915,3346299,6016558,0.5453532395043001,0.29678767162221326,0.29678767162221326,1.0346887829226146,0.41468713178241196,0.39244524738053577,0.6682770336082692,0.30708287473722445,-0.1793478661249891,0.12773500861223536
39,22454,2013,678850,297209,381641,0,48875,48875,332766,-8799.8,-8799.8,-8970,-3049.8,-5920.2,3641.0,-14720,-11079.0,66153,-18519,-54345,388914,299747,551323,1.2974742032447364,-0.015961242320744824,-0.015961242320744824,1.4446115590306072,-0.03329366581922432,-0.04423528846096055,0.14687498121803308,-0.023057795153036492,-0.12112941176470587,-0.14418720691774237
40,20575,2013,64638202,36199479,28438723,4299778,9430892,5131114,23307609,2689343.46,2689343.46,-2380331,-809312.54,-1571018.46,532815.0,1118325,1651140.0,2143394,-2260197,3458403,28913483,17708869,92902798,1.6327120043634633,0.028947927488685538,0.028947927488685538,3.266771085326159,0.07084124330384983,0.047981112090905595,0.22014759214469404,0.09456625250015621,-0.30617492809553637,-0.21160867559538016
41,19771,2013,7321628,5200956,2120672,47383,288482,241099,1879573,649666.22,649666.22,-277767,-94440.78000000001,-183326.21999999997,0.0,466340,466340.0,984270,-1222664,486868,1161458,900491,3377473,1.2898052284809065,0.19235275011820968,0.19235275011820968,1.5926428037904965,0.24810954402941518,0.24810954402941518,0.1282732833468027,0.30634922326507824,-0.7603773553602461,-0.45402813209516785
42,21431,2013,12501987,4654179,7847808,0,769231,769231,7078577,641274.3,643372.3,-582655,-198102.7,-384552.3,0.0,256722,256722.0,665784,-121708,-1121645,3774193,1916989,4258740,1.9688130709148566,0.15107104448733663,0.15057841051578638,0.5426661814356315,0.03626745884095066,0.03626745884095066,0.10867028782762411,0.08198114683743538,-0.49991784002464795,-0.4179366931872126
43,20478,2013,16754964,9785135,6969829,43891,1683667,1639776,5330053,24685.599999999977,24685.599999999977,-269610,-91667.40000000001,-177942.59999999998,-4715.0,-153257,-157972.0,-706066,-212481,465057,9734097,4750813,5316929,2.0489328879078172,0.004642830476013499,0.004642830476013499,0.7628492750682979,-0.029637979209587596,-0.028753372621247858,0.30764722226964725,0.0035417798628918982,-0.10851640711902112,-0.10497462725612923
44,18350,2013,3724958,1969289,1755669,348307,320167,-28140,1783809,915299.5,915299.5,-51425,-17484.5,-33940.5,4451.0,881359,885810.0,962990,-226921,-716951,763873,892752,2336933,0.8556385199921143,0.3916669840342021,0.3916669840342021,1.3310783524684893,0.4965834346614464,0.49408821235905864,-0.015775231541045032,0.5213394438245478,1.206130063965885,1.7274695077904327
45,18376,2013,6414950,1720564,4694386,595756,377695,-218061,4912447,-15742.879999999997,-15742.879999999997,72218,24554.120000000003,47663.88,0.0,31921,31921.0,1949939,-855041,-1400231,1590167,759272,981168,2.0943311487846255,-0.01604504019698971,-0.01604504019698971,0.2090088032811959,0.006497983591476916,0.006497983591476916,-0.04438948654306092,-0.003353554650171502,-0.2185804889457537,-0.2219340435959252
46,19330,2013,4977691,2569467,2408224,0,268636,268636,2139588,51101.5,198024.5,-150225,-51076.50000000001,-99148.5,-28452.0,-48047,-76499.0,73383,-362873,285827,207723,359283,843042,0.5781598350047177,0.23489280486618697,0.06061560396753661,0.35006793387990487,-0.03575407975741124,-0.022456192500612267,0.12555501339510222,0.08222843888276174,-0.3690812102622136,-0.28685277137945187
47,20010,2013,7841367,6080644,1760723,1262132,175208,-1086924,2847647,223121.68,223121.68,-219098,-74493.32,-144604.68,22.0,78517,78539.0,-42626,219902,40508,3081199,1688931,4715036,1.8243486560433788,0.04732130995394308,0.04732130995394308,2.6778976590866366,0.0275803145544374,0.027572588877764696,-0.3816919723547195,0.12672162515057733,0.13304028616536206,0.2597619113159394
48,19879,2013,11758207,8882568,2875639,1244000,642500,-601500,3477139,886836.4,886836.4,-453790,-154288.6,-299501.4,95383.0,587335,682718.0,1419426,-2137450,1034097,3495756,3318462,7422256,1.0534265572424817,0.11948340235098331,0.11948340235098331,2.5810805876537355,0.19634475354594683,0.16891329337136077,-0.17298704480896507,0.3083962903549437,0.49792418952618456,0.8063204798811283
49,19437,2013,4377143,1462745,2914398,0,101276,101276,2813122,619609.14,619609.14,-96879,-32938.86,-63940.14,55787.0,555669,611456.0,690787,36895,-705996,799218,124262,41865,6.431716856319712,14.800170548190613,14.800170548190613,0.014364887705797217,0.21735850773624465,0.19752751569252952,0.036001282560799,0.21260278795140541,-0.6313454322840555,-0.41874264433265007
50,18775,2013,23299898,18589166,4710732,529967,463153,-66814,4777546,318447.42,318447.42,-232137,-78926.58,-153210.41999999998,54043.0,165237,219280.0,1221354,-2731463,1895393,2313125,2352136,4856925,0.9834146494930566,0.06556564492966228,0.06556564492966228,1.0310340303799919,0.04589804054215281,0.034586166203318607,-0.013985004016706486,0.06760041114629319,2.293088574250905,2.360688985397198
51,18724,2013,10858768,1824543,9034225,0,0,0,9034225,-4263.8399999999965,-4263.8399999999965,-65826,-22380.84,-43445.16,386479.0,-47709,338770.0,414729,0,-410256,1117283,33460,0,33.39160191273162,0.0,0.0,0.0,0.03749851260069347,-0.005280917842980444,0.0,-0.00047196522114514487,0.0,-0.00047196522114514487
52,20788,2013,16787282,13535637,3251645,1040282,1172905,132623,3119022,443368.04000000004,537546.04,-2030994,-690537.9600000001,-1340456.04,-614782.0,-897088,-1511870.0,197297,-856410,-601321,7493730,3688566,18752376,2.0316106584510076,0.02866548964248584,0.02364329938776825,5.767042835241854,-0.4847256608000841,-0.2876183624225799,0.04252070039903534,0.16531510666139754,-10.107266763683525,-9.941951657022127
53,18953,2013,13905014,9093822,4811192,0,997165,997165,3814027,616220.76,616220.76,-563836,-191704.24000000002,-372131.76,-19945.0,244089,224144.0,680549,-230710,489380,1752108,1290260,1882724,1.3579495605536869,0.327302759193594,0.327302759193594,0.3913217348216409,0.058768330690894426,0.06399771160508302,0.2614467595536162,0.12808068353954696,-0.37318975294961215,-0.2451090694100652
54,19763,2013,14141494,6756256,7385238,0,1132065,1132065,6253173,751468.94,751468.94,-299059,-101680.06000000001,-197378.94,91045.0,554090,645135.0,849891,-1284025,786905,4706944,4598037,7096492,1.0236855423303466,0.1058930158731948,0.1058930158731948,0.9609022755935557,0.10316922304884256,0.0886094147723084,0.18103849037920428,0.1017528399220174,-0.17435300976534032,-0.07260016984332292
55,19062,2013,5240984,2758760,2482224,0,183561,183561,2298663,575280.14,575280.14,-198129,-67363.86,-130765.14,40947.0,444515,485462.0,640354,-174700,-791407,813728,325167,41865,2.5024925653587236,13.741314702018393,13.741314702018393,0.016865923462185524,0.21119320230934244,0.19337980382509312,0.07985555081366864,0.2317599620340469,-0.712379753869286,-0.48061979183523906
56,19100,2013,2631817,2000077,631740,6799,200290,193491,438249,170083.32,170083.32,-100702,-34238.68,-66463.32,25631.0,103620,129251.0,349005,-202022,-122433,918194,933277,3617962,0.9838386674052827,0.04701080884763301,0.04701080884763301,5.726979453572672,0.2949259439268544,0.2364409274179747,0.4415092789715436,0.2692299363662266,-0.34349566646510693,-0.07426573009888032
57,22799,2013,39050045,20916809,18133236,40439734,1496453,-38943281,57076517,4545920.32,4545920.32,2704648,919580.3200000001,1785067.68,0.0,6330988,6330988.0,11952710,-15692688,31733555,50362770,11410317,51195865,4.413792360019445,0.0887946774607676,0.0887946774607676,2.8233165332431565,0.11092106408665406,0.11092106408665406,-0.6822995348507338,0.2506954809389786,-0.0458376293461252,0.20485785159285338
58,18970,2013,15205145,9593775,5611370,1368315,441344,-926971,6538341,1076121.16,1076121.16,-19176,-6519.84,-12656.16,345248.0,1063465,1408713.0,1755779,-803721,-891014,3450472,2865365,9428650,1.2041998139853038,0.11413311131498145,0.11413311131498145,1.6802759397437703,0.21545419549087452,0.1626505867466992,-0.1417746489514695,0.19177512087066081,0.013653242658076681,0.2054283635287375
59,19453,2013,6430028,3567130,2862898,70740,835609,764869,2098029,614326.8200000001,614326.8200000001,-325477,-110662.18000000001,-214814.82,0.0,399512,399512.0,1033952,-577713,-164177,1366878,1165859,2639059,1.1724213648477217,0.23278252589275195,0.23278252589275195,0.9218138403813199,0.19042253467421089,0.19042253467421089,0.3645655040993237,0.21458215416686172,-0.28085177984726795,-0.06626962568040623
60,21237,2013,9689212,4707085,4982127,0,2408254,2408254,2573873,-610397.64,-610397.64,-506096,-172072.64,-334023.36,65783.0,-944421,-878638.0,-503661,-1579819,1841786,747842,2978859,1438831,0.2510498147109346,-0.4242316436051211,-0.4242316436051211,0.2887985392584332,-0.3413680472968169,-0.3669260293728556,0.9356537793434253,-0.1225174789803632,-0.13869938968231757,-0.2612168686626808
61,21555,2013,1612893,709819,903074,50930,278113,227183,675891,106753.28,106753.28,-69008,-23462.72,-45545.28,0.0,61208,61208.0,386,-247585,239334,543511,342481,827024,1.586981467585063,0.1290812358528894,0.1290812358528894,0.9157876320212962,0.09055898066404199,0.09055898066404199,0.3361237240916065,0.11821099932010001,-0.2004783808647654,-0.0822673815446654
62,19305,2013,138078,28613,109465,0,529,529,108936,-8380.62,-8380.62,-2543,-864.6200000000001,-1678.3799999999999,1870.0,-10059,-8189.0,-10508,-102880,133541,94802,10240,0,9.2580078125,0.0,0.0,0.0,-0.07517257839465374,-0.09233862084159507,0.004856062275097305,-0.07655981363906272,-3.172741020793951,-3.2493008344330137
63,20613,2013,980708,492160,488548,229599,449693,220094,268454,1179.5999999999985,1179.5999999999985,-30260,-10288.400000000001,-19971.6,1113.0,-18792,-17679.0,49103,-51658,63281,840346,661537,813114,1.270293271578158,0.001450719087360442,0.001450719087360442,1.664348231903518,-0.06585485781549166,-0.07000081950725263,0.8198574057380408,0.0024145017480370376,-0.09074122874771688,-0.08832672699967985
64,23221,2013,719054,334163,384891,84311,17836,-66475,451366,126779.12,126779.12,-15882,-5399.88,-10482.119999999999,0.0,116297,116297.0,130934,-203833,272977,406410,92442,456761,4.396378269617706,0.27756117531925883,0.27756117531925883,1.1867281905786313,0.2576556497387929,0.2576556497387929,-0.1472751602912049,0.3293896713615023,0.1576851447912749,0.48707481615277726
65,21717,2013,74269,21029,53240,17892,0,-17892,71132,73370.76,73370.76,1014,344.76000000000005,669.24,2209.0,74040,76249.0,59407,12278,-57396,90513,21029,129568,4.304198963336345,0.5662722277105458,0.5662722277105458,2.433658903080391,1.071936681099927,1.0408817409885847,-0.25153236236855425,1.378113448534936,-0.037404426559356135,1.34070902197558
66,80160,2013,3634710000,823030000,2811680000,0,0,0,2811680000,3828660.0,19025660.0,-5801000,-1972340.0000000002,-3828660.0,25746000.0,0,25746000.0,-99392000,1930000,-4779000,251171000,308407000,146718000,0.8144140697195589,0.12967502283291757,0.026095366621682412,0.052181613839412735,0.009156803050133729,0.0,0.0,0.006766651966084334,0.0,0.006766651966084334
67,80101,2013,1418065,684427,733638,1563,313950,312387,421251,27196.42,27196.42,-101737,-34590.58,-67146.42,-22076.0,-39950,-62026.0,39042,-87574,63834,463404,707085,1757296,0.6553724092577271,0.015476288570622136,0.015476288570622136,2.3953175816956045,-0.14724238043351826,-0.09483657012090178,0.7415697529501414,0.03707062611260594,-0.21494626857071517,-0.17787564245810922
68,80047,2013,2527172,1223416,1303756,0,92636,92636,1211120,171298.38,171298.38,-101643,-34558.62,-67084.38,133117.0,104214,237331.0,216033,-250653,-11204,629042,410380,1412819,1.5328281105317023,0.12124580714160837,0.12124580714160837,1.0836529227861655,0.1959599379087126,0.08604762533852962,0.07648787898804413,0.13138837328457165,-0.7241718122544152,-0.5927834389698435
69,20354,2013,2419546,791916,1627630,0,355256,355256,1272374,-158146.84,-158146.84,-108676,-36949.840000000004,-71726.16,-8592.0,-229873,-238465.0,-151564,-98935,37013,650482,644838,730399,1.0087525859208049,-0.21652116172119623,-0.21652116172119623,0.4487500230396343,-0.18741737885244433,-0.1806646473442557,0.27920721423103584,-0.09716387631095519,-0.20189992568739162,-0.2990638019983468
70,22357,2013,4530037,1489407,3040630,0,76071,76071,2964559,388967.56,388967.56,-31016,-10545.44,-20470.559999999998,0.0,368497,368497.0,47551,-345342,40246,481589,224475,275754,2.145401492371088,1.4105599918768177,1.4105599918768177,0.09068975837244256,0.12430078133037663,0.12430078133037663,0.0256601403446516,0.12792334483314313,-0.26909807942579955,-0.14117473459265642
